Gene names,Systematic Name,Full Name,Uniprot ID,Zn Protein?,Zap1 Protein?,Unique sequence coverage [%],Log 2 LFQ intensity WT 0 hr 1,Log 2 LFQ intensity WT 0 hr 2,Log 2 LFQ intensity WT 0 hr 3,Log 2 LFQ intensity WT 0 hr 4,WT 0 CV (%),Log 2 LFQ intensity WT 4 hr 1,Log 2 LFQ intensity WT 4 hr 2,Log 2 LFQ intensity WT 4 hr 3,Log 2 LFQ intensity WT 4 hr 4,CV WT 4 (%),Log 2 LFQ intensity WT 8 hr 1,Log 2 LFQ intensity WT 8 hr 2,Log 2 LFQ intensity WT 8 hr 3,Log 2 LFQ intensity WT 8 hr 4,CV WT 8 (%),Log 2 LFQ intensity WT 12 hr 1,Log 2 LFQ intensity WT 12 hr 2,Log 2 LFQ intensity WT 12 hr 3,Log 2 LFQ intensity WT 12 hr 4,CV WT 12 (%),Log 2 LFQ intensity WT 16 hr 1,Log 2 LFQ intensity WT 16 hr 3,Log 2 LFQ intensity WT 16 hr 4,CV WT 16 (%),Fold Change 4 hrs,p-value 4 hrs,Fold Change 8 hrs,p-value 8 hrs,Fold Change 12 hrs,p-value 12 hrs,Fold Change 16 hrs,p-value 16 hrs,Copy number WT 0 hr 1,Copy number WT 0 hr 2,Copy number WT 0 hr 3,Concentration [nM] WT 0 hr 4,Copy number WT 4 hr 1,Copy number WT 4 hr 2,Copy number WT 4 hr 3,Copy number WT 4 hr 4,Copy number WT 8 hr 1,Copy number WT 8 hr 2,Copy number WT 8 hr 3,Copy number WT 8 hr 4,Copy number WT 12 hr 1,Copy number WT 12 hr 2,Copy number WT 12 hr 3,Copy number WT 12 hr 4,Copy number WT 16 hr 1,Copy number WT 16 hr 3,Copy number WT 16 hr 4,Average Copy Number 0 hr,Average Copy Number 4 hr,Average Copy Number 8 hr,Average Copy Number 12 hr,Average Copy Number 16 hr,,
YBR201C-A,YBR201C-A,Putative uncharacterized protein YBR201C-A,Q2V2Q3,No,No,19.4,,,,,,,,,,,,,,,,,,,,,,25.61728451,,,,,,,,,,,,,,,,,,,,,,,,,,,,2982,,,,,,2982,,
YBR126W-A,YBR126W-A,Uncharacterized protein YBR126W-A,Q8TGU7,No,No,27.9,25.88404192,,25.91230224,,1.385076084,26.60201238,,,25.66619691,44.32370164,,,26.75875247,,,,,26.59077959,26.21828341,18.15636718,25.97024617,25.3862051,,28.24091303,0.235932561,0.664300022,0.860580381,,0.506359419,0.113389302,-0.219946445,0.530354509,3568,,3639,,5869,,,3068,,,6543,,,,5824,4499,3788,2527,,3604,4469,6543,5161,3158,,
YBR085C-A,YBR085C-A,Uncharacterized protein YBR085C-A,O43137,No,No,87.1,,,,,,,26.20177978,,,,,26.20512176,,,,,,,,,26.32928598,27.1814879,26.73389105,29.44037621,,,,,,,,,,,,,,3669,,,,3678,,,,,,,4008,7236,5306,,3669,3678,,5517,,
YBP2,YGL060W,YAP1-binding protein 2,P53169,No,No,10,,,28.39464331,28.22080363,8.510093629,28.41884588,28.06630291,28.43777696,28.59217066,14.65761128,28.47185162,28.54244577,28.63360269,28.93668781,14.86861266,27.643958,28.2510149,28.59380968,28.40916495,25.74610045,,28.74284692,28.16753491,27.82989031,0.071050632,0.705554884,0.338423504,0.105693928,-0.083236586,0.803588045,0.147467445,0.672172088,,,2158,130,2195,1719,2224,2475,2277,2391,2547,3143,1283,1954,2478,2180,,2747,1844,1144,2153,2589,1974,2296,,
YBP1,YBR216C,YAP1-binding protein 1,P38315,No,No,16,,,,,,27.35338095,27.72526941,27.44758372,,13.74637744,27.49289471,27.54694072,27.52813107,27.72025428,7.229172908,,27.57794727,,27.32044691,12.58744236,27.27230885,,,,,,,,,,,,,,,,986,1276,1053,,1086,1128,1113,1272,,1152,,964,932,,,,1105,1150,1058,932,,
YAT2,YER024W,Carnitine O-acetyltransferase YAT2,P40017,No,No,26.8,,,,,,,,,,,,,,,,,25.49228352,,,,25.89363168,25.96800596,25.15634205,28.01296794,,,,,,,,,,,,,,,,,,,,,,204,,,270,284,162,,,,204,239,,
YAT1,YAR035W,Putative mitochondrial carnitine O-acetyltransferase,P80235,No,No,20.1,,,,,,,,,,,,,,,,,,,,,,25.65433512,25.44275194,10.35175934,,,,,,,,,,,,,,,,,,,,,,,,,,304,262,,,,,283,,
YAR1,YPL239W,Ankyrin repeat-containing protein YAR1,P46683,No,No,78.5,27.4947267,28.63692449,27.80458196,28.02765117,35.43790781,27.86159621,28.37662481,28.18309832,28.12922759,14.44217298,28.27626394,28.09707859,28.40555837,28.08795507,10.737682,28.44225363,28.30756369,28.20839088,28.66962704,14.18401873,28.27923423,28.07581893,28.44466448,12.69606701,0.146665653,0.598327328,0.225742911,0.407067386,0.415987731,0.162452866,0.275601463,0.399403021,3782,8348,4689,371,4878,6970,6095,5872,6502,5742,7111,5706,7295,6644,6203,8540,6515,5658,7307,4297,5954,6265,7170,6493,,
YAP3,YHL009C,AP-1-like transcription factor YAP3,P38749,No,No,15.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YAP1802,YGR241C,Clathrin coat assembly protein AP180B,P53309,No,No,10.6,25.72538644,,,,,,25.71017141,25.14031991,25.08472536,25.34505626,,,,24.93053126,,25.08622468,25.15023351,,,3.136744238,,25.00247305,,,-0.413647543,,-0.794855179,,-0.607157341,,-0.722913385,,386,,,,,382,257,247,,,,222,248,259,,,,234,,386,295,222,253,234,,
YAP1801,YHR161C,Clathrin coat assembly protein AP180A,P38856,No,No,18.5,,,26.75608187,27.42013178,31.98431315,,27.42646414,27.01722691,,19.92448506,27.44371643,,,27.90638465,22.48434075,27.92127528,,,27.85412324,3.290722379,27.34274056,27.32010255,27.29998772,1.483166509,0.133738707,0.76435482,0.586943716,0.284009977,0.799592436,0.138820053,0.232836788,0.417047587,,,707,76,,1125,847,,1139,,,1570,1586,,,1514,1062,1045,1031,392,986,1354,1550,1046,,
YAP1,YML007W,AP-1-like transcription factor YAP1,P19880,No,No,29.2,25.47812353,25.50815117,25.87719968,25.8595835,14.96005009,25.82057964,,25.88776465,25.63486311,8.900267111,25.90637318,25.91959424,25.9232718,,0.615115806,25.67989562,25.62836922,25.61952506,25.77167927,4.91115988,25.21667482,25.39767359,,8.859658021,0.100304659,0.514861675,0.235648601,0.126191322,-0.00589718,0.960435038,-0.373590268,0.095607264,288,294,380,25,365,,383,321,388,391,392,,331,320,318,353,240,272,,247,356,390,330,256,,
YAL044W-A,YAL044W-A,Uncharacterized bolA-like protein YAL044W-A,Q3E793,No,No,32.7,,,,,,,,,,,,,,24.86074411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1087,,,,,,,,,,1087,,,,
YAK1,YJL141C,Dual specificity protein kinase YAK1,P14680,No,No,9.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YAF9,YNL107W,Protein AF-9 homolog,P53930,No,No,20.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XRS2,YDR369C,DNA repair protein XRS2,P33301,No,No,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XRN1,YGL173C,5-3 exoribonuclease 1,P22147,No,No,51.2,31.3683842,31.72427754,31.53264291,31.45115568,10.80578919,31.49027626,31.72845991,31.69635724,31.64482619,7.127179315,31.59632694,31.4201117,31.58991396,31.47576027,5.987559841,31.25614293,31.21407788,31.2782485,31.41895643,6.292765878,31.07437765,30.96450967,30.91449086,5.721853911,0.12086482,0.239947738,0.001413133,0.987664128,-0.227258645,0.041902057,-0.534655685,0.002863661,7064,9040,7916,507,7687,9066,8867,8556,8273,7322,8236,7610,6535,6347,6636,7316,5762,5339,5157,6132,8544,7860,6709,5419,,
XPT1,YJR133W,Xanthine phosphoribosyltransferase 1,P47165,No,No,57.9,27.34629608,27.37881714,27.5312583,26.906442,17.34188716,,26.19452783,26.34864469,26.08547521,9.225720331,,,,26.81921568,,26.50354869,27.09546978,27.01105335,26.35093891,25.01458562,26.03898444,26.67505661,26.51228692,21.6412099,-1.081154133,0.001468021,-0.471487694,,-0.550450693,0.052225466,-0.881927388,0.011227028,3223,3296,3664,161,,1451,1614,1345,,,,2237,1797,2709,2555,1617,1302,2024,1808,2586,1470,2237,2169,1711,,
XKS1,YGR194C,Xylulose kinase,P42826,No,No,11.2,24.99092385,,,,,,25.84981167,,26.20983216,17.55464568,,,25.75753223,25.836149,3.852283259,,25.68137097,,,,26.38144354,,,,1.03889807,,0.805916772,,0.690447124,,1.390519692,,218,,,,,396,,508,,,371,392,,352,,,572,,,218,452,382,352,572,,
WWM1,YFL010C,WW domain-containing protein WWM1,P43582,No,No,43.6,28.76262241,28.89965932,28.57945866,29.34377849,23.83510066,29.69316966,29.44434853,29.34271937,29.12903102,16.34800991,29.79336889,30.05219526,29.76018111,29.84516112,9.406474238,29.62709268,29.51927109,29.4504184,29.72159118,8.306084059,29.68999168,29.67692357,29.47371052,8.195496418,0.505937424,0.045192774,0.966346876,0.001510635,0.683213616,0.007644794,0.717162201,0.016221093,8988,9883,7916,911,17130,14417,13436,11586,18363,21971,17945,19034,16364,15185,14478,17471,17093,16939,14713,6924,14142,19328,15874,16248,,
WTM2,YOR229W,Transcriptional modulator WTM2,Q12206,No,No,29.6,25.66003333,26.39785308,25.96331663,26.15160825,21.22132338,,26.38630379,25.75623461,,30.39986187,26.53473496,26.44670068,26.20568111,26.00568862,16.22642507,26.56987415,26.60314502,26.86266062,27.2410904,22.65037119,26.37797369,26.52059794,26.60964047,8.020020656,0.028066374,0.930622656,0.254998515,0.241821256,0.775989721,0.012347899,0.459534544,0.062726453,456,761,563,43,,755,488,,837,787,666,580,857,877,1050,1365,751,829,881,456,621,717,1037,820,,
WTM1,YOR230W,Transcriptional modulator WTM1,Q12363,No,No,48.7,31.29871026,31.58230621,31.72983784,31.384479,13.58116678,31.48874504,31.50531042,31.54797957,31.53027246,1.81938598,31.80946616,31.76860511,31.84363456,31.74089458,3.13485925,32.17506986,32.01411683,31.94639109,32.11231691,7.03182566,32.23343625,32.29551165,32.20364426,3.265484776,0.019243545,0.85098353,0.291816773,0.026517569,0.563140344,0.002150571,0.745364061,0.001423588,24410,29712,32912,1754,27847,28168,29014,28660,34779,33808,35613,33165,44810,40080,38242,42903,46660,48712,45706,22197,28422,34341,41509,47026,,
WSC2,YNL283C,Cell wall integrity and stress response component 2,P53832,No,No,6.8,,,,,,25.72411162,25.3618873,,,17.66098724,,,,,,,,,,,,,,,,,,,,,,,,,,,474,369,,,,,,,,,,,,,,,421,,,,,
WRS1,YOL097C,"Tryptophan--tRNA ligase, cytoplasmic",Q12109,No,No,67.6,31.22348748,31.50208842,31.3938152,31.29553902,8.445232046,30.84752262,31.14995017,31.1316089,31.10817808,9.387296595,30.76287581,30.46158467,30.64254715,30.53333936,9.19861011,30.59138612,30.63278838,30.53889888,30.812912,8.478966113,30.38710129,30.57479344,30.44687417,6.716150288,-0.29441759,0.019746996,-0.753645784,0.000151991,-0.709736188,0.000158983,-0.884142898,0.000143837,22715,27554,25562,1617,17504,21586,21314,20970,16507,13396,15186,14079,14657,15083,14133,17089,12722,14489,13260,19362,20344,14792,15241,13490,,
WHI4,YDL224C,Protein WHI4,Q07655,No,No,13.3,,,,,,,,,,,,,,,,25.00829867,,24.81587343,,9.417363471,,,,,,,,,,,,,,,,,,,,,,,,,213,,187,,,,,,,,200,,,
WHI3,YNL197C,Protein WHI3,P34761,No,No,23.4,26.80131662,27.22232471,27.51878352,26.74406679,25.94558661,27.25961513,26.92942548,27.10838998,26.42721577,23.0956049,27.45481686,27.18782444,26.89942884,,19.09410335,26.48540518,,26.68338039,26.94770827,16.20539552,27.01307864,26.59135045,26.24199958,26.84762627,-0.140461324,0.605226141,0.109067137,0.686646776,-0.366124964,0.193889377,-0.456146688,0.171632059,734,983,1207,48,1008,802,908,566,1154,959,785,,590,,676,812,850,634,498,743,821,966,693,661,,
WHI2,YOR043W,Growth regulation protein,P12611,No,No,21,26.06640556,26.44605383,27.35539882,26.62672725,40.14118168,27.18385554,26.79066846,27.04978292,27.1178314,11.41953428,26.91741051,27.41199527,27.27524287,27.75709982,23.92691335,26.79909443,26.71973223,27.80581225,27.32928598,36.51310854,27.13124091,27.45010371,27.70556489,19.63120932,0.411888219,0.196876575,0.716790755,0.067236322,0.539834857,0.195372935,0.805323475,0.069036477,568,739,1387,57,1232,938,1122,1177,1024,1443,1312,1832,943,893,1895,1362,1188,1481,1768,688,1117,1403,1273,1479,,
WBP1,YEL002C,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit WBP1,P33767,No,No,54.2,29.42227908,29.43958118,29.74776825,29.0604651,19.19407897,29.34969525,30.08068056,29.62813626,29.61157639,21.9846557,30.17092842,29.99307478,30.19518989,30.1639895,6.235810668,30.10249509,29.86141873,30.0123861,30.17724011,9.256385661,29.79992815,30.29164747,29.91627184,18.42769989,0.249998711,0.272287533,0.713272242,0.002942942,0.620861604,0.007307674,0.585092418,0.037134895,6512,6591,8161,343,6193,10279,7511,7425,10942,9673,11128,10890,10435,8829,9803,10990,8461,11897,9172,5402,7852,10658,10015,9843,,
VTS1,YOR359W,Protein VTS1,Q08831,No,No,19.7,26.49358198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,734,,,,,,,,,,,,,,,,,,,734,,,,,,
VTI1,YMR197C,t-SNARE VTI1,Q04338,No,No,36.4,28.52984444,29.5021074,26.85388537,29.38851842,60.26072188,27.53823287,28.41211645,27.7362159,27.61442274,30.79353766,27.95188185,28.37052672,28.1643732,28.49811738,16.28198988,28.46610491,27.94402551,28.93519891,28.3026482,29.12578809,28.68475188,28.87466942,28.0131319,28.71732413,-0.743341917,0.291750751,-0.322364118,0.623370775,-0.156594525,0.816274557,-0.044404508,0.955420983,7024,13781,2198,863,3533,6474,4052,3724,4706,6290,5452,6872,6721,4680,9303,6001,7821,8921,4910,5967,4446,5830,6676,7217,,
VTC4,YJL012C,Vacuolar transporter chaperone 4,P47075,No,No,46.3,30.47072738,30.76398393,30.87752443,30.54037781,13.2028396,30.51267498,30.60310964,30.66135923,30.75246551,6.981297966,30.99057496,30.83838402,30.87730501,31.04531074,6.692124985,30.76509121,30.82145274,30.93100491,30.9540751,6.186207412,30.36285722,30.65625294,30.57992615,10.3021106,-0.03075105,0.78445076,0.274740295,0.041786851,0.204752598,0.099114998,-0.130141282,0.376986797,8001,9804,10607,569,8237,8769,9131,9726,11471,10323,10605,11915,9811,10202,11007,11185,7424,9098,8630,7245,8966,11078,10551,8384,,
VTC3,YPL019C,Vacuolar transporter chaperone 3,Q02725,No,No,46.1,28.89391515,29.44347932,28.91433403,29.28854866,19.10148313,29.03776506,29.37703871,29.1669127,29.22490226,9.800129551,29.31337105,28.95764931,29.46318396,29.45669782,15.36165611,29.01377085,28.989073,29.25824523,29.20683175,9.391003957,28.99631133,29.01147997,29.18174853,7.274026473,0.066585396,0.680748822,0.162656248,0.403999552,-0.018089084,0.909694465,-0.071889345,0.689393866,2310,3381,2343,206,2552,3229,2791,2905,3089,2414,3427,3412,2510,2467,2973,2869,2480,2506,2820,2060,2869,3086,2705,2602,,
VTC2,YFL004W,Vacuolar transporter chaperone 2,P43585,No,No,45.2,29.9433549,30.32656708,30.20408172,30.09080922,11.24372079,29.99779233,30.28515652,30.19577657,30.43579169,12.52987221,30.28294955,30.10973542,30.43638756,30.44134357,10.58047923,30.20349841,30.40375169,30.49151918,30.45002503,8.538728572,30.11607204,30.22204827,30.11892064,4.234395711,0.087426045,0.502681537,0.176400795,0.170239066,0.245995345,0.055218309,0.011143751,0.91636538,4836,6308,5794,363,5022,6129,5761,6804,6120,5428,6807,6830,5792,6654,7072,6871,5451,5867,5462,4325,5929,6296,6597,5594,,
VTC1,YER072W,Vacuolar transporter chaperone 1,P40046,No,No,20.2,28.61558075,28.6795601,27.72018903,27.89775675,32.8390814,28.50718345,28.49300927,28.7910723,28.59156446,9.840295831,28.64361402,29.00463899,28.68217507,29.01950869,13.9426816,,29.07285829,28.92996155,29.02247491,4.986691812,,28.46995153,28.67825083,10.19165573,0.36743571,0.199014922,0.609212534,0.061321606,0.780159926,0.044324627,0.345829521,0.406533856,12796,13376,6879,527,11869,11753,14451,12584,13047,16756,13400,16930,,17568,15911,16965,,11567,13364,8394,12664,15033,16814,12465,,
VTA1,YLR181C,Vacuolar protein sorting-associated protein VTA1,Q06263,No,No,22.1,26.24492327,26.99798072,26.70833057,27.41522314,33.47173237,27.41110634,,,26.26140975,53.54577093,27.44063096,,27.37094237,27.13163343,10.92413341,27.60356953,27.40624796,27.69756734,27.52753463,8.47960944,27.42334151,27.34070489,27.62030844,10.12526801,-0.005356381,0.992125941,0.472787827,0.17779163,0.717115441,0.030121818,0.619837188,0.093240855,953,1606,1314,145,2138,,,964,2183,,2080,1762,2444,2131,2608,2318,2157,2037,2472,1004,1551,2008,2375,2222,,
VRP1,YLR337C,Verprolin,P37370,No,No,30.7,28.19192361,28.61037995,28.03758181,28.62285845,20.13589603,28.85641076,28.82826425,28.59658464,28.7630025,7.840401692,28.65386381,28.87721724,28.84203142,28.96642254,8.89677893,28.55017431,28.65829763,28.62505553,28.41852423,7.228124262,27.96944493,28.33747586,28.07168257,13.47510971,0.395379583,0.047678453,0.469197798,0.027606641,0.19732697,0.256978092,-0.239484835,0.280530439,1660,2218,1491,152,2631,2580,2197,2466,2286,2669,2605,2839,2128,2293,2241,1942,1423,1836,1527,1380,2469,2600,2151,1595,,
VRG4,YGL225W,GDP-mannose transporter 1,P40107,No,No,2.7,24.91086228,,24.89286776,23.77323984,38.25663851,25.74316804,25.39842405,24.81611765,24.71072321,34.22993982,26.04785014,25.38880168,25.63594259,25.59730242,20.02712416,25.82631359,25.68064689,25.91686406,26.1419964,13.63373146,25.01729064,25.45985857,25.3638265,15.46908683,0.64145161,0.193751685,1.14181758,0.023458969,1.365798608,0.009558523,0.754668609,0.13192011,381,,376,12,678,534,357,332,838,531,630,613,719,650,765,894,410,557,522,256,475,653,757,496,,
VPS75,YNL246W,Vacuolar protein sorting-associated protein 75,P53853,No,No,15.9,,,,,,,,25.44199254,,,,,,,,,,,,,24.85400431,25.23728379,,18.67592483,,,,,,,,,,,,,,,666,,,,,,,,,,443,578,,,666,,,510,,
VPS74,YDR372C,Vacuolar protein sorting-associated protein 74,Q06385,No,No,38.6,27.90609788,27.90896299,27.33679514,28.02923203,19.44073904,27.77398177,27.97667293,27.99215643,27.85739001,7.094442556,28.51118622,28.19286431,28.52850371,28.41280292,10.28023645,28.34925234,28.28885664,28.3478172,28.54591033,8.018071808,28.65174441,28.56598033,28.57607383,3.277425397,0.104778275,0.546169091,0.616067276,0.012085155,0.587687116,0.011998252,0.802660843,0.007499504,2862,2868,1929,211,2612,3006,3038,2767,4354,3492,4407,4067,3892,3732,3888,4460,4799,4522,4554,1968,2856,4080,3993,4625,,
VPS72,YDR485C,Vacuolar protein sorting-associated protein 72,Q03388,No,No,2.1,27.99242659,,28.06347696,27.89515829,5.828168879,,26.76065701,,27.13016094,18.01210643,27.22848478,27.08547521,26.63878964,27.01190645,16.47338225,27.52335269,27.09123812,26.82662878,26.37613626,32.91111997,28.07714414,26.65321465,27.30765054,48.82708671,-1.038278303,0.006350843,-0.992523261,0.001349494,-1.02934832,0.015824402,-0.637684175,0.198664741,1318,,1385,83,,561,,725,776,703,516,668,952,706,587,430,1398,521,820,929,643,666,669,913,,
VPS68,YOL129W,Vacuolar protein sorting-associated protein 68,Q12016,No,No,10.9,,,24.01145864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,,,,,,,,,,,,,,,,,376,,,,,,
VPS60,YDR486C,Vacuolar protein-sorting-associated protein 60,Q03390,No,No,26.2,26.92829626,,26.96631252,27.20321834,10.59222095,27.81421162,24.77660692,25.11378413,25.19328742,118.8510385,28.3220815,28.20559722,28.36536263,28.51453847,8.920117319,27.89521608,27.90242222,28.09002679,27.6874576,11.33667095,27.85715268,27.71266595,27.82844585,5.231267453,-1.308136517,0.177642864,1.319285916,5.497E-05,0.861171634,0.000850018,0.766812456,0.001368096,2208,,2267,181,4080,497,628,663,5802,5352,5978,6630,4316,4337,4940,3737,4203,3803,4121,1552,1467,5940,4332,4042,,
VPS54,YDR027C,Vacuolar protein sorting-associated protein 54,Q12071,No,No,12.9,24.84799744,24.24814879,24.55683906,23.25131655,40.44394859,23.71103843,23.19823519,24.79491238,22.91192296,64.03052145,24.3465159,24.66936347,23.85870651,24.17911638,23.35256109,25.23680954,24.46207635,25.58023533,24.94306421,31.56140411,25.41683437,25.0163557,25.87382501,29.69305243,-0.57204822,0.330908792,0.037350104,0.926097045,0.829470896,0.095882496,1.209596234,0.046610117,133,88,109,3,60,42,128,35,94,118,67,84,174,102,221,142,197,149,271,83,66,91,160,206,,
VPS52,YDR484W,Vacuolar protein sorting-associated protein 52,P39904,No,No,13.1,,,,,,,,,,,,,,,,,,,,,24.91911683,25.34928609,,20.92901622,,,,,,,,,,,,,,,,,,,,,,,,,191,257,,,,,,224,,
VPS51,YKR020W,Vacuolar protein sorting-associated protein 51,P36116,No,No,20.1,,,,,,,,,,,,,,,,,,,,,22.69795171,,,,,,,,,,,,,,,,,,,,,,,,,,,,161,,,,,,,161,,
VPS5,YOR069W,Vacuolar protein sorting-associated protein 5,Q92331,No,No,23.1,25.62042031,,26.08283886,,22.47241258,26.31748272,27.05558646,26.84625267,27.38525076,29.44409251,27.03433167,,27.46785464,27.39615516,15.37912119,26.99841121,26.99819598,27.11634475,27.32001645,10.8664757,26.97607198,27.61280698,26.53406702,38.09335396,1.049513568,0.045063333,1.447817571,0.009603935,1.256612511,0.002291801,1.189352408,0.073366653,302,,415,,489,815,705,1025,803,,1085,1033,784,784,850,979,772,1200,568,359,759,974,849,847,,
VPS45,YGL095C,Vacuolar protein sorting-associated protein 45,P38932,No,No,32.1,25.34763137,,24.93992996,26.67020132,66.6832573,26.0543241,25.43294402,26.24314434,25.13676556,34.62273965,26.43383551,26.68070054,26.52663952,26.07009637,17.06397788,26.3530107,26.47470868,26.54501182,26.83243538,14.63423531,26.45181794,26.57816328,26.52212568,4.376246523,0.064206958,0.908980585,0.77523044,0.154975275,0.898704097,0.104189614,0.864781417,0.173906688,285,,215,48,465,302,530,246,605,718,645,470,572,622,653,797,612,668,643,183,386,609,661,641,,
VPS41,YDR080W,Vacuolar protein sorting-associated protein 41,P38959,No,No,6.8,,,,,,,,,,,,,,,,,,,,,,24.23972554,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,,,,,,78,,
VPS4,YPR173C,Vacuolar protein sorting-associated protein 4,P52917,No,No,51.9,27.94486332,27.99765776,28.13697086,27.19366341,25.49970977,28.13594408,28.03627215,27.77856326,28.00168951,10.14033084,28.2649923,28.29802193,28.28599428,28.08415764,6.725013411,28.01067996,28.21909627,28.41151047,28.14111941,11.78197934,27.95831331,28.53893587,28.44146231,20.22373252,0.16982841,0.479176472,0.4150027,0.105588826,0.377312691,0.149148874,0.494614992,0.151610063,2398,2487,2740,96,2738,2555,2137,2494,2994,3063,3038,2641,2510,2900,3314,2747,2420,3620,3383,1930,2481,2934,2868,3141,,
VPS35,YJL154C,Vacuolar protein sorting-associated protein 35,P34110,No,No,10.1,,,,,,24.98032788,,,,,25.19430238,25.22062837,25.17134847,25.31146673,4.319142006,,25.34583943,,,,25.19820521,,,,,,,,,,,,,,,,136,,,,157,160,155,171,,175,,,158,,,,136,161,175,158,,
VPS34,YLR240W,Phosphatidylinositol 3-kinase VPS34,P22543,No,No,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VPS33,YLR396C,Vacuolar protein sorting-associated protein 33,P20795,No,No,10.4,,,,,,,,,,,,,,,,,,,,,,25.39744511,,,,,,,,,,,,,,,,,,,,,,,,,,,,249,,,,,,249,,
VPS28,YPL065W,Vacuolar protein sorting-associated protein 28,Q02767,No,No,24.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VPS24,YKL041W,Vacuolar protein-sorting-associated protein 24,P36095,No,No,26.3,25.60659408,,26.32227064,,34.37532692,,,26.19008749,,,26.38225197,26.43297587,,26.74008233,13.85838256,,26.6477364,26.78206798,27.36977824,28.04111138,26.80119326,27.82717414,26.64705015,48.00199699,0.225655134,,0.554004364,0.165188011,0.968761847,0.089572665,1.127373491,0.131606184,870,,1430,,,,1304,,1490,1544,,1910,,1791,1966,2955,1992,4057,1790,1150,1304,1648,2237,2613,,
VPS21,YOR089C,Vacuolar protein sorting-associated protein 21,P36017,No,No,86.2,28.38669026,28.90454836,28.87929316,28.55873763,17.09618373,28.48631089,28.90331328,28.92942548,28.7416903,13.51242915,28.79912532,28.704345,28.96419291,28.75015075,8.05545921,29.09151557,28.97735553,28.8811035,28.8619511,7.408653052,29.06517319,29.42824262,29.20008718,12.89155703,0.082867634,0.627416856,0.12213614,0.411005001,0.270664073,0.094938268,0.548850312,0.02503261,6798,9734,9565,519,7284,9725,9903,8695,9048,8473,10145,8746,11081,10238,9577,9451,10880,13994,11947,6654,8902,9103,10086,12273,,
VPS17,YOR132W,Vacuolar protein sorting-associated protein 17,P32913,No,No,32.1,,,25.19723049,,,26.02345878,25.96618048,25.81279268,26.23033684,12.12357834,26.33034646,26.67317038,26.52149681,26.29867749,12.32195768,26.22561948,26.06249944,26.20381576,25.98174373,7.993119205,26.54879358,26.23257083,26.28781804,12.02837993,0.8109617,,1.258692291,,0.921189109,,1.159163654,,,,272,,483,464,417,557,597,757,681,584,555,496,547,469,694,558,580,272,480,655,517,611,,
VPS16,YPL045W,Vacuolar protein sorting-associated protein 16,Q03308,No,No,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VPS13,YLL040C,Vacuolar protein sorting-associated protein 13,Q07878,No,No,31.5,28.70691547,29.00378158,28.90515115,29.21630015,14.71535178,28.9762359,29.58256643,29.24877765,29.15602855,18.24006407,29.14318922,28.66681995,28.81372249,28.53645533,18.84212385,29.24941076,28.98809791,29.12883442,29.0230833,8.27633061,28.8607086,29.39968346,29.05188422,19.33704737,0.282865047,0.138288897,-0.167990341,0.356421781,0.139319509,0.294027848,0.146055004,0.458742846,547,673,628,53,660,1004,797,747,741,532,590,486,797,665,733,682,609,885,695,475,802,587,719,730,,
VPS1,YKR001C,Vacuolar protein sorting-associated protein 1,P21576,No,No,78.1,31.75811706,32.0219126,31.56506335,31.70783709,13.60669149,31.97069325,32.04136658,32.12062093,32.08252166,4.415105089,32.05057451,31.94621677,32.28997252,32.15508766,10.24162244,32.09008359,32.08179185,32.07332449,32.17622971,3.360244064,31.93603485,32.17822011,32.00711457,8.758073822,0.290568084,0.027834418,0.347230341,0.027944423,0.342124886,0.013175313,0.277223986,0.082450892,20624,24762,18041,1349,23898,25098,26515,25824,25259,23496,29818,27156,25960,25811,25660,27557,23331,27595,24509,16194,25334,26432,26247,25145,,
VPH2,YKL119C,Vacuolar ATPase assembly integral membrane protein VPH2,P32341,No,No,14.4,,,,,,,,,,,,,,,,,,,,,,25.0997292,24.82963177,13.19972794,,,,,,,,,,,,,,,,,,,,,,,,,,636,527,,,,,581,,
