Systematic Name,NCBI code,Gene Name,Uniprot ID,Annotation,Predicted Number of Zinc Ions Per Monomer,Subcellular Location,Zinc ligands,Structural Zn-site classification,Zinc Function,Zn-binding domain,EC number,Enzyme Class
YDR264C,NP_010550 ,AKR1,P39010,NP_010550.1 palmitoyltransferase AKR1 [Saccharomyces cerevisiae S288c],1 or 2,Golgi,"C443, H450, C472, D497, H498, C500, C533",ZincRibbon,Structural,zf-DHHC (Pfam),2.3.1.225,transferase
YOL098C,NP_014543 ,SDD3,Q12496,NP_014543.1 Sdd3p [Saccharomyces cerevisiae S288c],1,cytosol,"H60, H64, E135, E142",HelicalAnchors,Catalytic,Peptidase_M16,,
YOR108W,NP_014751 ,LEU9,Q12166,NP_014751.1 2-isopropylmalate synthase LEU9 [Saccharomyces cerevisiae S288c],1,mitochondrion,"D69, H274, H276, N310",ZincRafts,Catalytic,HMGL-like,2.3.3.13,transferase
YML004C,NP_013710 ,GLO1,P50107,NP_013710.1 lactoylglutathione lyase GLO1 [Saccharomyces cerevisiae S288c],2 o 3,"cytosol, nucleus","H25, E89, H117, E163, H185, E242, H269, E318",ZincRafts,Catalytic,"Glyoxalase,Glyoxalase_4",4.4.1.5,lyase
YOR091W,NP_014734 ,TMA46,Q12000,NP_014734.2 Tma46p [Saccharomyces cerevisiae S288c],2,cytosol,"C93, C101, C107, H111, C164, C182, C189, H193",ZincNecklaces,Unknown,Torus,,
YML035C,NP_013677 ,AMD1,P15274,NP_013677.1 AMP deaminase [Saccharomyces cerevisiae S288c],1,cytosol,"H362, H364, H630, D707",NoCluster,Catalytic,A_deaminase,3.5.4.6,hydrolase
YDR266C,NP_010552 ,HEL2,Q05580,NP_010552.3 E3 ubiquitin-protein ligase HEL2 [Saccharomyces cerevisiae S288c],2,cytosol,"C64, C67, C79, H81, C84, C87, C100, C103","TrebleClef, Loosened_ZnRibbon, ZincRibbon",Structural,zf-C3HC4_3,2.3.2.27,transferase
YGL062W,NP_011453 ,PYC1,P11154,NP_011453.1 pyruvate carboxylase 1 [Saccharomyces cerevisiae S288c],1,cytosol,"D566, K734, H764, H766",ZincRafts,Catalytic,HMGL-like,6.4.1.1,ligase
YPR024W,NP_015349 ,YME1,P32795,NP_015349.1 i-AAA protease YME1 [Saccharomyces cerevisiae S288c],1,mitochondrion,"H540, H544, D618",HelicalAnchors,Catalytic,Peptidase_M41,3.4.24.-,hydrolase
YGL071W,NP_011444 ,AFT1,P22149,NP_011444.1 DNA-binding transcription factor AFT1 [Saccharomyces cerevisiae S288c],1,"cytosol, nucleus","C143, C215, H239, H241",NoCluster,Structural,AFT,,
YDL122W,NP_010161,UBP1,P25037,NP_010161.1 ubiquitin-specific protease UBP1 [Saccharomyces cerevisiae S288c],1,cytosol,"C337, C340, C387, C390",Unknown,Structural,Unknown,3.4.19.12,hydrolase
YGL201C,NP_011314 ,MCM6,P53091,NP_011314.2 MCM DNA helicase complex subunit MCM6 [Saccharomyces cerevisiae S288c],1,"cytosol, nucleus","C311, C314, C333, C338",ZincRibbon,Structural,MCM_OB,3.6.4.12,hydrolase
YGL101W,NP_011414 ,YGL101W,P53144,NP_011414.1 hypothetical protein YGL101W [Saccharomyces cerevisiae S288c],1,"cytosol, nucleus","H61, D90",NoCluster,Catalytic,HD,,
YDR303C,NP_010589 ,RSC3,Q06639,NP_010589.3 Rsc3p [Saccharomyces cerevisiae S288c],2,nucleus,"C14, C17, C24, C31, C34, C42",Zn2Cys6_ZnFinger,Structural,Zn_clus,,
YLR389C,NP_013493 ,STE23,Q06010,NP_013493.2 metalloendopeptidase [Saccharomyces cerevisiae S288c],1,mitochondrion,"H118, H122, E192, E199",HelicalAnchors,Catalytic,Peptidase_M16,3.4.24.-,hydrolase
YPR019W,NP_015344 ,MCM4,P30665,NP_015344.1 MCM DNA helicase complex subunit MCM4 [Saccharomyces cerevisiae S288c],1,"cytosol, nucleus","C349, C352, C371, C376",ZincRibbon,Structural,MCM_OB,3.6.4.12,hydrolase
YGL181W,NP_011334 ,GTS1,P40956,NP_011334.1 Gts1p [Saccharomyces cerevisiae S288c],1,"cytosol, nucleus","C30, C33, C50, C53",TrebleClef,Structural,ArfGap,,
YDR049W,NP_010334,VMS1,Q04311,NP_010334.1 Vms1p [Saccharomyces cerevisiae S288c],1,cytosol,"C74, C77, H90, H96",Unknown,Structural,Unknown,,
YMR080C,NP_013797 ,NAM7,P30771,NP_013797.1 ATP-dependent RNA helicase NAM7 [Saccharomyces cerevisiae S288c],3,cytosol,"C62, C65, C76, C79, C84, H94, H98, H104, C122, C125, C148, C152",TrebleClef,Structural,UPF1_Zn_bind,3.6.4.-,hydrolase
YER068W,NP_010991 ,MOT2,P34909,NP_010991.3 CCR4-NOT core ubiquitin-protein ligase subunit MOT2 [Saccharomyces cerevisiae S288c],2 or 3,cytosol,"C33, C36, C50, C52, C57, C60, C74, C77","TrebleClef, Loosened_ZnRibbon, ZincRibbon",Structural,"zf-C3HC4_3,zf-RING_4",,
YDR390C,NP_010678 ,UBA2,P52488,NP_010678.3 E1 ubiquitin-activating protein UBA2 [Saccharomyces cerevisiae S288c],1,nucleus,"C162, C165, C435",TrebleClef,Structural,ThiF,,
YCR003W,NP_009929 ,MRPL32,P25348,NP_009929.1 mitochondrial 54S ribosomal protein YmL32 [Saccharomyces cerevisiae S288c],1,mitochondrion,"C104, C107, C117, C120",ZincRibbon,Structural,Ribosomal_L32p,,
YMR319C,NP_014052,FET4,P40988,NP_014052.1.,N/A,plasma membrane,,,Transport,,,
YDR216W,NP_010502 ,ADR1,P07248,NP_010502.3 DNA-binding transcription factor ADR1 [Saccharomyces cerevisiae S288c],2,nucleus,"C106, V108, C109, H122, H126, C134, C137, H150, H155",C2H2_ZnFinger,Structural,"zf-C2H2,zf-H2C2_2",,
YMR089C,NP_013807 ,YTA12,P40341,NP_013807.1 m-AAA protease subunit YTA12 [Saccharomyces cerevisiae S288c],1,mitochondrion,"H613, H617, D689",HelicalAnchors,Catalytic,Peptidase_M41,3.4.24.-,hydrolase
YNL186W,NP_014213 ,UBP10,P53874,NP_014213.2 ubiquitin-specific protease UBP10 [Saccharomyces cerevisiae S288c],1,nucleus,C500-C503-C610-C613,ZincRibbon,Structural,UCH_1,3.4.19.12,hydrolase
YHR111W,NP_011979 ,UBA4,P38820,NP_011979.1 Uba4p [Saccharomyces cerevisiae S288c],1,cytosol,"C208, C211, C286, H358","TrebleClef, ZincNecklaces",Structural,"ThiF,Rhodanese","2.7.7.-, 2.8.1.-",transferase
YDL074C,NP_010209 ,BRE1,Q07457,NP_010209.1 E3 ubiquitin-protein ligase BRE1 [Saccharomyces cerevisiae S288c],2,nucleus,"C648, C651, C663, H665, C668, C671, C683, C686","TrebleClef, Loosened_ZnRibbon, ZincRibbon, Zn2Cys6_ZnFinger",Structural,"zf-C3HC4,zf-C3HC4_3,Prok-RING_4,zf-RING_5,zf-C3HC4_2",2.3.2.27,transferase
YBL033C,NP_009520 ,RIB1,P38066,NP_009520.1 GTP cyclohydrolase II [Saccharomyces cerevisiae S288c],1,"cytosol, nucleus","C148, C159, C161",NoCluster,Catalytic,GTP_cyclohydro2,3.5.4.25,hydrolase
YGL023C,NP_011492 ,PIB2,P53191,NP_011492.3 Pib2p [Saccharomyces cerevisiae S288c],2,vacuole,"C458, C461, C474, C477, C482, H485, C519, C522",TrebleClef,Structural,FYVE,,
YNL036W,NP_014362 ,NCE103,P53615,NP_014362.3 carbonate dehydratase NCE103 [Saccharomyces cerevisiae S288c],1,mitochondrion,"C57, D59, H112, C115",ZincNecklaces,Catalytic,Pro_CA,4.2.1.1,lyase
YDL174C,NP_010107,DLD1,P32891,NP_010107.1 D-lactate dehydrogenase [Saccharomyces cerevisiae S288c],from 4 to 6 ,mitochondrion,Unknown - The number of zinc is reported in the Uniprot database,Unknown,Unknown,Unknown,1.1.2.4,oxidoreductase
YNL102W,NP_014297 ,POL1,P13382,NP_014297.3 DNA-directed DNA polymerase alpha catalytic subunit POL1 [Saccharomyces cerevisiae S288c],2,nucleus,"C1287, C1290, C1314, C1317, C1348, C1353, C1367, C1372",ZincRibbon,Structural,zf-DNA_Pol,2.7.7.7,transferase
YNL310C,NP_014089 ,ZIM17,P42844,NP_014089.2 Zim17p [Saccharomyces cerevisiae S288c],1,mitochondrion,"C75, C78, C100, C103",ZincRibbon,Structural,zf-DNL,,
YCL033C,NP_009897 ,MXR2,P25566,NP_009897.1 Mxr2p [Saccharomyces cerevisiae S288c],1,mitochondrion,"C79, C82, C128, C131",ZincRibbon,Structural,SelR,1.8.4.12,oxidoreductase
YOR001W,NP_014643 ,RRP6,Q12149,NP_014643.1 exosome nuclease subunit RRP6 [Saccharomyces cerevisiae S288c],1,nucleus,"D238, E240, D296, D365",ZincRafts,Catalytic,DNA_pol_A_exo1,3.1.13.-,hydrolase
YKL160W,NP_012762 ,ELF1,P36053,NP_012762.1 Elf1p [Saccharomyces cerevisiae S288c],1,nucleus,"C25, C28, C49, C52",ZincRibbon,Structural,Elf1,,
YKL175W,NP_012746 ,ZRT3,P34240,NP_012746.1 Zn(2+) transporter ZRT3 [Saccharomyces cerevisiae S288c],N/A,vacuolar membrane,Unknown,,Transport,ZIP (Pfam),,
YKR038C,NP_012964 ,KAE1,P36132,NP_012964.2 tRNA N6-adenosine threonylcarbamoyltransferase [Saccharomyces cerevisiae S288c],1,"cytosol, nucleus","H141, H145, D344",HelicalAnchors,Catalytic,Peptidase_M22,2.3.1.234,transferase
YOR039W,NP_014682 ,CKB2,P38930,NP_014682.1 casein kinase 2 regulatory subunit CKB2 [Saccharomyces cerevisiae S288c],1,"cytosol, nucleus","C139, C144, C167, C170",ZincRibbon,Structural,CK_II_beta,,
YKR079C,NP_013005,TRZ1,P36159,NP_013005.1 tRNase Z [Saccharomyces cerevisiae S288c],2,"cytosol, nucleus",Unknown,Unknown,Unknown,Lactamase_B_4,3.1.26.11,hydrolase
YNR006W,NP_014403 ,VPS27,P40343,NP_014403.3 ESCRT-0 subunit protein VPS27 [Saccharomyces cerevisiae S288c],2,endosome,"C176, C179, C192, C195, C200, H203, C222, C225",TrebleClef,Structural,FYVE,,
YMR070W,NP_013786 ,MOT3,P54785,NP_013786.1 Mot3p [Saccharomyces cerevisiae S288c],1,"cytosol, nucleus","C348, C351, H364, H368",C2H2_ZnFinger,Structural,Unknown,,
YNL116W,NP_014283 ,DMA2,P53924,NP_014283.3 ubiquitin-conjugating protein DMA2 [Saccharomyces cerevisiae S288c],2,cytosol,"C433, C436, C451, H453, H456, C459, C473, C476","TrebleClef, ZincRibbon",Structural,"zf-RING_2,zf-RING_11",2.3.2.27,transferase
YGR246C,NP_011762 ,BRF1,P29056,NP_011762.1 transcription factor TFIIIB subunit BRF1 [Saccharomyces cerevisiae S288c],1,nucleus,"C4, C7, C25, C28",ZincRibbon,Structural,TF_Zn_Ribbon,,
YDR096W,NP_010381 ,GIS1,Q03833,NP_010381.1 histone demethylase GIS1 [Saccharomyces cerevisiae S288c],2,"cytosol, nucleus","C250, H256, H846, H851, C859, C862, C830, C833",C2H2_ZnFinger,Structural,zf-H2C2_2,,
YPL116W,NP_015209 ,HOS3,Q02959,NP_015209.1 histone deacetylase [Saccharomyces cerevisiae S288c],1,cytosol,"D231, D233, H235, S278, D370","ZincNecklaces, NoCluster",Catalytic,Hist_deacetyl,3.5.1.98,hydrolase
YBR058C,NP_009614 ,UBP14,P38237,NP_009614.2 ubiquitin-specific protease UBP14 [Saccharomyces cerevisiae S288c],4,cytosol,"C192, C195, C204, C207, C212, H224, H228, H235, C253, C256, C455, C458, C501, C504","TrebleClef, C2H2_ZnFinger",Structural,"zf-UBP,UCH_1",3.4.19.12,hydrolase
YDR316W-B,NP_058150,TY1B-DR5,P0C2I2,NP_058150.1 gag-pol fusion protein [Saccharomyces cerevisiae S288c],1,nucleus,"H599, H604, C637, C640",Unknown,Structural,Integrase-type zinc finger-like,"3.4.23.-, 2.7.7.49, 2.7.7.7, 3.1.26.4","hydrolase, transferase"
YBR202W,NP_009761 ,MCM7,P38132,NP_009761.4 mini-chromosome maintenance complex protein 7 [Saccharomyces cerevisiae S288c],1,"cytosol, nucleus","C262, C265, C284, C289",ZincRibbon,Structural,MCM_OB,3.6.4.12,hydrolase
YBR281C,NP_009840 ,DUG2,P38149,NP_009840.3 glutamine amidotransferase subunit DUG2 [Saccharomyces cerevisiae S288c],2,"cytosol, nucleus","H520, D553, E587, H853",NoCluster,Catalytic,Peptidase_M20,3.4.-.-,hydrolase
YKL062W,NP_012861 ,MSN4,P33749,NP_012861.1 stress-responsive transcriptional activator MSN4 [Saccharomyces cerevisiae S288c],2,nucleus,"C575, C578, K580, H591, H596, C604, C607, H620, H624",C2H2_ZnFinger,Structural,"zf-C2H2,zf-H2C2_2",,
YDR448W,NP_010736 ,ADA2,Q02336,NP_010736.3 chromatin-binding transcription regulator ADA2 [Saccharomyces cerevisiae S288c],2,nucleus,"C7, C10, C22, C25, C31, C34, H44, H48","TrebleClef, C2H2_ZnFinger",Structural,ZZ,,
YKL114C,NP_012808 ,APN1,P22936,NP_012808.1 DNA-(apurinic or apyrimidinic site) lyase APN1 [Saccharomyces cerevisiae S288c],3,"mitochondrion,nucleus","E158, D192, H195, H229, D242, H244",NoCluster,Catalytic,AP_endonuc_2,4.2.99.18,lyase
YLR387C,NP_013491 ,REH1,Q06709,NP_013491.1 Reh1p [Saccharomyces cerevisiae S288c],2,cytosol,"C188, C191, H204, H209, C239, C242, H255, H261",C2H2_ZnFinger,Structural,zf-C2H2_2,,
YGL122C,NP_011393 ,NAB2,P32505,NP_011393.3 mRNA-binding protein NAB2 [Saccharomyces cerevisiae S288c],7,"cytosol, nucleus","C340, C346, C351, H355, C415, C421, C426, H430, C458, C464, C469, H473, C262, C268, C274, H278, C283, C289, C296, H300, C371, C377, C382, H386",Unknown,Structural,zf-CCCH_2,,
YNL262W,NP_014137,POL2,P21951,NP_014137.1 DNA polymerase epsilon catalytic subunit [Saccharomyces cerevisiae S288c],1,nucleus,"C2108, C2111, C2130, C2133",Unknown,Structural,CysA-type,2.7.7.7,transferase
YIL079C,NP_012186 ,AIR1,P40507,NP_012186.1 TRAMP complex RNA-binding subunit [Saccharomyces cerevisiae S288c],4,nucleus,"C175, C178, H183, C188, C76, C79, H84, C89, C94, C97, H103, C108, C136, C139, H144, C149",Shuffled_ZnRibbonII,Structural,zf-CCHC,,
YGL156W,NP_011359 ,AMS1,P22855,NP_011359.1 alpha-mannosidase [Saccharomyces cerevisiae S288c],1,vacuolar membrane,"H298, D300, D411, H626",NoCluster,Catalytic,"Glyco_hydro_38,Alpha-mann_mid",3.2.1.24,hydrolase
YOR116C,NP_014759 ,RPO31,P04051,NP_014759.1 DNA-directed RNA polymerase III core subunit RPO31 [Saccharomyces cerevisiae S288c],2,nucleus,"C67, C70, C77, H80, C107, C110, C154, C157",Loosened_ZnRibbon,Structural,RNA_pol_Rpb1_1,2.7.7.6,transferase
YBL005W-B,NP_009549,TY1B-BL,Q12490,NP_009549.1 gag-pol fusion protein [Saccharomyces cerevisiae S288c],1,nucleus,"H599, H604, C637, C640",Unknown,Structural,Integrase-type zinc finger-like,"3.4.23.-, 2.7.7.49, 2.7.7.7, 3.1.26.4","hydrolase, transferase"
YMR045C,NP_013759,TY1B-MR1,Q04214,NP_013759.1 gag-pol fusion protein [Saccharomyces cerevisiae S288c],1,nucleus,"H599, H604, C637, C640",Unknown,Structural,Integrase-type zinc finger-like,"3.4.23.-, 2.7.7.49, 2.7.7.7, 3.1.26.4","hydrolase, transferase"
YGL035C,NP_011480 ,MIG1,P27705,NP_011480.1 transcription factor MIG1 [Saccharomyces cerevisiae S288c],2,"cytosol, nucleus","H56, H60, C68, C73, H86, H90",C2H2_ZnFinger,Structural,zf-H2C2_2,,
YDR379W,NP_010667 ,RGA2,Q06407,NP_010667.1 Rga2p [Saccharomyces cerevisiae S288c],4,cytosol,"C13, C16, H34, C37, C40, C43, C63, C66, C70, C73, C95, C98, C101, C119, C122",TrebleClef,Structural,LIM,,
YBL023C,NP_009530 ,MCM2,P29469,NP_009530.1 MCM DNA helicase complex subunit MCM2 [Saccharomyces cerevisiae S288c],1,"cytosol, nucleus","C341, C344, C364, C367",ZincRibbon,Structural,MCM_OB,3.6.4.12,hydrolase
YER017C,NP_010933 ,AFG3,P39925,NP_010933.1 AAA family ATPase AFG3 [Saccharomyces cerevisiae S288c],1,mitochondrion,"H558, H562, D634",HelicalAnchors,Catalytic,Peptidase_M41,3.4.24.-,hydrolase
YDL167C,NP_010114 ,NRP1,P32770,NP_010114.1 Nrp1p [Saccharomyces cerevisiae S288c],2,cytosol,"C361, C364, C375, C378, C587, C590, C601, C604",ZincRibbon,Structural,zf-RanBP,,
YLR274W,NP_013376 ,MCM5,P29496,NP_013376.1 MCM DNA helicase complex subunit MCM5 [Saccharomyces cerevisiae S288c],1,"cytosol, nucleus","C183, C186, C211, C236",ZincRibbon,Structural,MCM_OB,3.6.4.12,hydrolase
YNL027W,NP_014371 ,CRZ1,P53968,NP_014371.1 DNA-binding transcription factor CRZ1 [Saccharomyces cerevisiae S288c],2,"cytosol, nucleus","C571, V573, C574, K576, H587, H591, C599, C602, H619",C2H2_ZnFinger,Structural,"zf-C2H2,zf-met,zf-H2C2_2",,
YOR056C,NP_014699 ,NOB1,Q08444,NP_014699.1 rRNA-binding endoribonuclease [Saccharomyces cerevisiae S288c],1,"cytosol, nucleus","C304, C307, C323, C326",ZincRibbon,Structural,NOB1_Zn_bind,3.1.-.-,hydrolase
YIL130W,NP_012136 ,ASG1,P40467,NP_012136.1 Asg1p [Saccharomyces cerevisiae S288c],2,nucleus,"C21, C24, C31, C37, C40, C47",Zn2Cys6_ZnFinger,Structural,Zn_clus,,
YJL168C,NP_012367 ,SET2,P46995,NP_012367.2 histone methyltransferase SET2 [Saccharomyces cerevisiae S288c],2,"cytosol, nucleus","C201, C68, C70, C82, C88, C97, C102, C109, C248, C250, C255",ZincNecklaces,Unknown,SET,2.1.1.43,transferase
YHR056C,NP_011923 ,RSC30,P38781,NP_011923.2 Rsc30p [Saccharomyces cerevisiae S288c],2,nucleus,"C15, C18, C25, C32, C35, C43",Zn2Cys6_ZnFinger,Structural,Zn_clus,,
YLR410W-B,NP_058174,TY2B-LR1,P0C2J3,NP_058174.3 gag-pol fusion protein [Saccharomyces cerevisiae S288c],1,nucleus,"H595, H600, C633, C636",Unknown,Structural,Integrase-type zinc finger-like,"3.4.23.-, 2.7.7.49, 2.7.7.7, 3.1.26.4","hydrolase, transferase"
YOR244W,NP_014887,ESA1,Q08649,NP_014887.3 NuA4 histone acetyltransferase complex catalytic subunit ESA1 [Saccharomyces cerevisiae S288c],1,nucleus,"C248, C252, H261, C275",C2H2_ZnFinger,Structural,C2HC MYST-type,2.3.1.48,transferase
YNL097C,NP_014302 ,PHO23,P50947,NP_014302.3 Pho23p [Saccharomyces cerevisiae S288c],2,nucleus,"C283, C285, Q287, Y290, C296, C301, H307, C310, C323, C326",TrebleClef,Structural,PHD,,
YIL030C,NP_012234 ,SSM4,P40318,NP_012234.3 E3 ubiquitin-protein ligase SSM4 [Saccharomyces cerevisiae S288c],2,ER,"C39, C42, C56, C58, H66, C69, C90, C93","TrebleClef, ZincRibbon",Structural,RINGv,2.3.2.27,transferase
YBL105C,NP_009445 ,PKC1,P24583,NP_009445.2 protein kinase C [Saccharomyces cerevisiae S288c],4,"cytosol, nucleus","H415, C428, C431, C442, C445, H450, C453, C461, H482, C495, C496, C498, C512, C515, H520, C523, C531","TrebleClef, Loosened_ZnRibbon",Structural,C1_1,2.7.11.13,transferase
YKL028W,NP_012897 ,TFA1,P36100,NP_012897.3 transcription factor TFIIE subunit TFA1 [Saccharomyces cerevisiae S288c],1,nucleus,"C124, C127, C149, C152",ZincRibbon,Structural,TF_Zn_Ribbon,,
YPL015C,NP_015310 ,HST2,P53686,NP_015310.1 histone deacetylase HST2 [Saccharomyces cerevisiae S288c],1,"cytosol, nucleus","C143, C146, C170, C173",ZincRibbon,Structural,SIR2,3.5.1.-,hydrolase
YGR184C,NP_011700 ,UBR1,P19812,NP_011700.1 E3 ubiquitin-protein ligase UBR1 [Saccharomyces cerevisiae S288c],3 or 4,cytosol,"C123, C136, C139, C148, C151, H157, H160, C175, C177, C189, H118",NoCluster,Structural,zf-UBR,2.3.2.27,transferase
YOR127W,NP_014770 ,RGA1,P39083,NP_014770.1 Rga1p [Saccharomyces cerevisiae S288c],2,cytosol,"C70, C73, C95, C98, C101, C119, C122",TrebleClef,Structural,LIM,,
YDR045C,NP_010330 ,RPC11,Q04307,NP_010330.1 DNA-directed RNA polymerase III core subunit RPC11 [Saccharomyces cerevisiae S288c],2,nucleus,"C5, C8, C26, C29, C69, C75, C100, C103",ZincRibbon,Structural,"RNA_POL_M_15KD,TFIIS_C",,
YDR143C,NP_010427 ,SAN1,P22470,NP_010427.3 ubiquitin-protein ligase SAN1 [Saccharomyces cerevisiae S288c],1 or 2,"cytosol, nucleus","C257, H259, C265, C276, C279","TrebleClef, Loosened_ZnRibbon, ZincRibbon, Zn2Cys6_ZnFinger",Structural,"zf-RING_2,zf-C3HC4_3,zf-C3HC4_2,Prok-RING_4,zf-RING_UBOX,zf-rbx1",,
YDR205W,NP_010491,MSC2,Q03455,NP_010491.4. ,N/A,ER,,,Transport,,,
YBR062C,NP_009618 ,YBR062C,P38239,NP_009618.2 hypothetical protein YBR062C [Saccharomyces cerevisiae S288c],2,Unknown,"C109, C112, C130, H132, C138, C149, C152","TrebleClef, ZincRibbon, Zn2Cys6_ZnFinger",Structural,"zf-C3HC4,zf-RING_2,zf-rbx1,zf-C3HC4_2",,
YOR191W,NP_014834 ,ULS1,Q08562,NP_014834.1 translocase ULS1 [Saccharomyces cerevisiae S288c],1 or 2,nucleus,"C1330, C1333, C1353, C1356",TrebleClef,Structural,zf-RING_5,3.6.4.-,hydrolase
YGL067W,NP_011448 ,NPY1,P53164,NP_011448.3 NAD(+) diphosphatase [Saccharomyces cerevisiae S288c],1,Unknown,C179-C182-C197,ZincRibbon,Structural,zf-NADH-PPase,3.6.1.22,hydrolase
YMR037C,NP_013751 ,MSN2,P33748,NP_013751.1 stress-responsive transcriptional activator MSN2 [Saccharomyces cerevisiae S288c],2 or 3,"cytosol, nucleus","C649, C652, K654, H665, H670, C678, C681, K683, H694, H698",C2H2_ZnFinger,Structural,"zf-C2H2,zf-H2C2_2",,
YHR207C,NP_012077 ,SET5,P38890,NP_012077.1 S-adenosylmethionine-dependent methyltransferase [Saccharomyces cerevisiae S288c],1,nucleus,"C369, C424, C426, C429",ZincNecklaces,Unknown,SET,2.1.1.-,transferase
YJL056C,NP_012479 ,ZAP1,P47043,NP_012479.1 Zap1p [Saccharomyces cerevisiae S288c],7,nucleus,"H786, H790, C798, C801, K803, H814, H818, C826, C829, K831, H842, H846, C581, C586, H599, H604, C707, C712, H725, C745, C770, C773, C852, C855","TrebleClef, C2H2_ZnFinger",Structural,"zf-C2H2,zf-H2C2_2",,
YGL066W,NP_011449 ,SGF73,P53165,NP_011449.1 deubiquitination module subunit SGF73 [Saccharomyces cerevisiae S288c],2,"cytosol, nucleus","C233, C243, C249, H252, C78, C81, H93, H97",ZincRibbon,Structural,SCA7,,
YER040W,NP_010958 ,GLN3,P18494,NP_010958.3 nitrogen-responsive transcriptional regulator GLN3 [Saccharomyces cerevisiae S288c],1,"cytosol, nucleus","C306, C309, C327, C330",TrebleClef,Structural,GATA,,
YLR256W,NP_013357 ,HAP1,P0CE41,NP_013357.1 Hap1p [Saccharomyces cerevisiae S288c],2,"mitochondrion,nucleus","C64, C67, C74, C81, C84, C93",Zn2Cys6_ZnFinger,Structural,Zn_clus,,
YKL059C,NP_012864 ,MPE1,P35728,NP_012864.1 cleavage polyadenylation factor subunit MPE1 [Saccharomyces cerevisiae S288c],1,"cytosol, nucleus","C182, C185, H190, C195",Shuffled_ZnRibbonII,Structural,zf-CCHC_2,,
YNL021W,NP_014377 ,HDA1,P53973,NP_014377.1 histone deacetylase HDA1 [Saccharomyces cerevisiae S288c],1,nucleus,"H83, H205, H206, D243, D245, H247, S266, L267, D338","ZincNecklaces, NoCluster",Catalytic,Hist_deacetyl,3.5.1.98,hydrolase
YJL110C,NP_012425 ,GZF3,P42944,NP_012425.1 Gzf3p [Saccharomyces cerevisiae S288c],1,nucleus,"C131, C134, C152, C155",TrebleClef,Structural,GATA,,
YBL104C,NP_009446 ,SEA4,P38164,NP_009446.2 Sea4p [Saccharomyces cerevisiae S288c],1,vacuolar membrane,"C1005, C1008, H1010, C1027",Unknown,Structural,Zn_ribbon_17,,
YNL077W,NP_014322 ,APJ1,P53940,NP_014322.1 Apj1p [Saccharomyces cerevisiae S288c],2,nucleus,"C206, C209, C220, C223, C246, C249, C262, C265",Shuffled_ZnRibbon,Structural,DnaJ_CXXCXGXG,,
YLR382C,NP_013486 ,NAM2,P11325,NP_013486.3 leucine--tRNA ligase NAM2 [Saccharomyces cerevisiae S288c],1,mitochondrion,"C462, C465, C503, C506",Unknown,Unknown,Unknown,6.1.1.4,ligase
YLR427W,NP_013531 ,MAG2,Q06436,NP_013531.3 Mag2p [Saccharomyces cerevisiae S288c],2,cytosol,"C195, C198, C211, H213, C216, C219, C246, C249","TrebleClef, Loosened_ZnRibbon, ZincRibbon, Zn2Cys6_ZnFinger",Structural,"zf-C3HC4,zf-RING_2,zf-RING_UBOX,zf-RING_5",,
YLR148W,NP_013249,PEP3,P27801,NP_013249.1 tethering complex subunit PEP3 [Saccharomyces cerevisiae S288c],2,vacuolar membrane,"C826, C829, C843, H845, C846, H848, C851",Unknown,Structural,RING-type,,
YLR247C,NP_013348 ,IRC20,Q06554,NP_013348.1 E3 ubiquitin-protein ligase IRC20 [Saccharomyces cerevisiae S288c],2,nucleus,"C1239, C1242, C1254, H1256, C1259, C1262, C1273, C1276","TrebleClef, Loosened_ZnRibbon, ZincRibbon, Zn2Cys6_ZnFinger",Structural,"zf-C3HC4,zf-RING_2,zf-RING_5,zf-C3HC4_3,zf-C3HC4_2,zf-RING_UBOX,zf-rbx1",3.6.1.-,hydrolase
YNL255C,NP_014144 ,GIS2,P53849,NP_014144.1 mRNA-binding translational activator GIS2 [Saccharomyces cerevisiae S288c],7,cytosol,"C6, C9, H14, C19, C25, C28, H33, C38, C49, C52, H57, C62, C67, C70, H75, C80, E82, C94, C97, H102, C107, C118, C121, H126, C131, C137, C140, H145, C150",Shuffled_ZnRibbonII,Structural,zf-CCHC,,
YMR247C,NP_013975 ,RKR1,Q04781,NP_013975.1 ubiquitin-protein ligase RKR1 [Saccharomyces cerevisiae S288c],2,"cytosol, nucleus","C1508, C1511, H1535, C1538, C1551, C1554, C1527, C1530","TrebleClef, ZincRibbon",Structural,"zf-RING_2,FANCL_C",2.3.2.27,transferase
YGR274C,NP_011790 ,TAF1,P46677,NP_011790.1 Taf1p [Saccharomyces cerevisiae S288c],1,"cytosol, nucleus","C1038, C1041, H1046, C1053",Unknown,Structural,zf-CCHC_6 (Pfam),2.3.1.48,transferase
YDR228C,NP_010514 ,PCF11,P39081,NP_010514.3 Pcf11p [Saccharomyces cerevisiae S288c],1,"cytosol, nucleus","C421, C424, H441, H445",Unknown,Unknown,Unknown,,
YOL089C,NP_014552 ,HAL9,Q12180,NP_014552.1 Hal9p [Saccharomyces cerevisiae S288c],2,nucleus,"C136, C139, C146, C156, C159, C166",Zn2Cys6_ZnFinger,Structural,Zn_clus,,
YKR029C,NP_012954 ,SET3,P36124,NP_012954.3 histone-binding protein SET3 [Saccharomyces cerevisiae S288c],2,nucleus,"C120, C122, D123, C134, C137, H142, C145, C160, C163",TrebleClef,Structural,PHD,,
