Protein,Protein ID,Entry Name,Gene,Protein Length,Organism,Protein Probability,Top Peptide Probability,Combined Total Peptides,Combined Spectral Count,Combined Unique Spectral Count,Combined Total Spectral Count,AFO-9,AFO-10,AFO-11,AFO-12,AFO-13,AFO-14,AFO-15,AFO-16,AFO-25,AFO-26,AFO-27,AFO-28,AFO-29,AFO-30,AFO-31,AFO-32,AFO-49,AFO-50,AFO-51,AFO-52,AFO-53,AFO-54,AFO-55,AFO-56,AFO-73,AFO-74,AFO-75,AFO-76,AFO-77,AFO-78,AFO-79,AFO-80,Indistinguishable Proteins
SIS1_YEAST,P25294,P25294 SIS1_YEAST Protein SIS1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SIS1 PE=1 SV=1,SIS1,352,OS=Saccharomyces,1,0.9982,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,
PHO84_YEAST,P25297,P25297 PHO84_YEAST Inorganic phosphate transporter PHO84 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PHO84 PE=1 SV=2,PHO84,587,OS=Saccharomyces,1,0.999,9,82,82,82,0,0,0,0,1,3,0,0,0,0,4,0,1,4,0,0,0,0,4,2,6,13,1,0,0,0,4,3,8,23,5,0,
SCJ1_YEAST,P25303,P25303 SCJ1_YEAST DnaJ-related protein SCJ1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SCJ1 PE=1 SV=2,SCJ1,377,OS=Saccharomyces,1,0.9989,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,
ERG4_YEAST,P25340,P25340 ERG4_YEAST Delta(24(24(1)))-sterol reductase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ERG4 PE=1 SV=2,ERG4,473,OS=Saccharomyces,1,0.9974,4,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,7,0,
YCP4_YEAST,P25349,P25349 YCP4_YEAST Flavoprotein-like protein YCP4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YCP4 PE=1 SV=1,YCP4,247,OS=Saccharomyces,1,0.9986,4,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0,
CTR86_YEAST,P25355,P25355 CTR86_YEAST Copper transport protein 86 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CTR86 PE=1 SV=1,CTR86,563,OS=Saccharomyces,1,0.9989,7,13,8,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,6,4,0,0,
RNQ1_YEAST,P25367,P25367 RNQ1_YEAST [PIN+] prion protein RNQ1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RNQ1 PE=1 SV=2,RNQ1,405,OS=Saccharomyces,1,0.999,2,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,
LSB5_YEAST,P25369,P25369 LSB5_YEAST LAS seventeen-binding protein 5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=LSB5 PE=1 SV=3,LSB5,354,OS=Saccharomyces,1,0.999,5,26,26,26,0,0,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,6,3,0,
STDH_YEAST,P25379,P25379 STDH_YEAST Catabolic L-serine/threonine dehydratase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CHA1 PE=1 SV=2,CHA1,360,OS=Saccharomyces,1,0.999,10,40,40,40,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,11,10,0,
RS2_YEAST,P25443,P25443 RS2_YEAST 40S ribosomal protein S2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS2 PE=1 SV=3,RPS2,254,OS=Saccharomyces,1,0.999,10,30,30,30,0,0,0,0,0,0,4,0,1,1,0,0,0,0,11,0,0,0,0,2,0,0,5,0,0,0,0,0,1,0,5,0,
RAD51_YEAST,P25454,P25454 RAD51_YEAST DNA repair protein RAD51 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RAD51 PE=1 SV=1,RAD51,400,OS=Saccharomyces,1,0.999,3,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,
MAS5_YEAST,P25491,P25491 MAS5_YEAST Mitochondrial protein import protein MAS5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YDJ1 PE=1 SV=1,YDJ1,409,OS=Saccharomyces,1,0.999,13,109,109,109,0,0,0,0,0,9,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,23,2,0,0,0,0,0,1,58,6,2,
SRO9_YEAST,P25567,P25567 SRO9_YEAST RNA-binding protein SRO9 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SRO9 PE=1 SV=2,SRO9,434,OS=Saccharomyces,1,0.999,10,68,68,68,0,0,0,0,14,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,21,1,0,0,0,0,0,0,16,6,0,0,
MGR1_YEAST,P25573,P25573 MGR1_YEAST Mitochondrial inner membrane i-AAA protease supercomplex subunit MGR1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MGR1 PE=1 SV=1,MGR1,417,OS=Saccharomyces,1,0.9961,4,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,
MRC1_YEAST,P25588,P25588 MRC1_YEAST Mediator of replication checkpoint protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MRC1 PE=1 SV=3,MRC1,1096,OS=Saccharomyces,1,0.999,4,8,8,8,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,
ILV6_YEAST,P25605,"P25605 ILV6_YEAST Acetolactate synthase small subunit, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ILV6 PE=1 SV=2",ILV6,309,OS=Saccharomyces,1,0.999,9,25,25,25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,9,0,
NOT1_YEAST,P25655,P25655 NOT1_YEAST General negative regulator of transcription subunit 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CDC39 PE=1 SV=3,CDC39,2108,OS=Saccharomyces,1,0.9988,11,36,36,36,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,9,2,0,0,0,0,0,0,2,17,3,0,0,1,0,
CDC48_YEAST,P25694,P25694 CDC48_YEAST Cell division control protein 48 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CDC48 PE=1 SV=3,CDC48,835,OS=Saccharomyces,1,0.999,26,82,82,82,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,49,4,1,0,0,0,0,0,17,3,0,0,0,
RL5_YEAST,P26321,P26321 RL5_YEAST 60S ribosomal protein L5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL5 PE=1 SV=4,RPL5,297,OS=Saccharomyces,1,0.9971,6,20,16,20,0,0,0,0,0,0,5,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,7,0,
SYLC_YEAST,P26637,"P26637 SYLC_YEAST Leucine--tRNA ligase, cytoplasmic OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CDC60 PE=1 SV=1",CDC60,1090,OS=Saccharomyces,1,0.9987,9,24,24,24,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,13,2,0,0,0,0,
RS5_YEAST,P26783,P26783 RS5_YEAST 40S ribosomal protein S5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS5 PE=1 SV=3,RPS5,225,OS=Saccharomyces,1,0.999,9,45,45,45,0,0,0,2,1,1,5,0,0,0,0,0,0,0,10,0,0,0,1,1,0,0,10,0,0,0,0,0,1,1,11,1,
RL16A_YEAST,P26784,P26784 RL16A_YEAST 60S ribosomal protein L16-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL16A PE=1 SV=3,RPL16A,199,OS=Saccharomyces,1,0.999,3,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,
RL16B_YEAST,P26785,P26785 RL16B_YEAST 60S ribosomal protein L16-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL16B PE=1 SV=3,RPL16B,198,OS=Saccharomyces,1,0.999,6,35,14,35,0,0,0,1,0,1,2,2,0,0,1,0,1,1,1,4,0,0,0,2,1,2,1,5,0,0,0,0,0,2,1,7,
RS7A_YEAST,P26786,P26786 RS7A_YEAST 40S ribosomal protein S7-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS7A PE=1 SV=4,RPS7A,190,OS=Saccharomyces,1,0.9983,8,23,6,23,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,8,
NSR1_YEAST,P27476,P27476 NSR1_YEAST Nuclear localization sequence-binding protein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NSR1 PE=1 SV=1,NSR1,414,OS=Saccharomyces,1,0.999,16,175,175,175,0,0,0,0,14,22,0,0,0,0,0,0,11,12,2,0,0,0,0,0,24,25,0,0,0,0,0,0,14,46,5,0,
PHO91_YEAST,P27514,P27514 PHO91_YEAST Low-affinity phosphate transporter PHO91 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PHO91 PE=1 SV=2,PHO91,894,OS=Saccharomyces,1,0.999,11,33,33,33,0,0,0,1,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,5,7,0,0,0,0,0,0,0,11,0,0,0,
URK1_YEAST,P27515,P27515 URK1_YEAST Uridine kinase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=URK1 PE=1 SV=1,URK1,501,OS=Saccharomyces,1,0.999,4,11,11,11,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,
CBPS_YEAST,P27614,P27614 CBPS_YEAST Carboxypeptidase S OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CPS1 PE=1 SV=2,CPS1,576,OS=Saccharomyces,1,0.9989,8,43,43,43,0,0,0,0,10,0,0,0,0,0,0,1,8,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,12,3,0,0,
KTR1_YEAST,P27810,"P27810 KTR1_YEAST Alpha-1,2 mannosyltransferase KTR1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=KTR1 PE=1 SV=1",KTR1,393,OS=Saccharomyces,1,0.999,6,22,22,22,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,7,4,0,
RPAC2_YEAST,P28000,P28000 RPAC2_YEAST DNA-directed RNA polymerases I and III subunit RPAC2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPC19 PE=1 SV=1,RPC19,142,OS=Saccharomyces,1,0.999,2,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
IDH2_YEAST,P28241,"P28241 IDH2_YEAST Isocitrate dehydrogenase [NAD] subunit 2, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=IDH2 PE=1 SV=1",IDH2,369,OS=Saccharomyces,1,0.999,10,21,21,21,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,14,0,
URA7_YEAST,P28274,P28274 URA7_YEAST CTP synthase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=URA7 PE=1 SV=2,URA7,579,OS=Saccharomyces,1,0.999,18,70,59,70,0,0,0,0,8,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,29,6,0,0,
MSP1_YEAST,P28737,P28737 MSP1_YEAST Protein MSP1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MSP1 PE=1 SV=2,MSP1,362,OS=Saccharomyces,1,0.999,3,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,
AROC_YEAST,P28777,P28777 AROC_YEAST Chorismate synthase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ARO2 PE=1 SV=1,ARO2,376,OS=Saccharomyces,1,0.999,9,46,46,46,0,0,0,0,0,4,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,13,1,0,0,0,0,0,0,18,5,0,
HIBCH_YEAST,P28817,"P28817 HIBCH_YEAST 3-hydroxyisobutyryl-CoA hydrolase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=EHD3 PE=1 SV=2",EHD3,500,OS=Saccharomyces,1,0.999,3,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,
TF2B_YEAST,P29055,P29055 TF2B_YEAST Transcription initiation factor IIB OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SUA7 PE=1 SV=1,SUA7,345,OS=Saccharomyces,1,0.999,2,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,2,0,
HRR25_YEAST,P29295,P29295 HRR25_YEAST Casein kinase I homolog HRR25 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HRR25 PE=1 SV=1,HRR25,494,OS=Saccharomyces,1,0.999,4,5,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,
BMH1_YEAST,P29311,P29311 BMH1_YEAST Protein BMH1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=BMH1 PE=1 SV=4,BMH1,267,OS=Saccharomyces,1,0.999,17,114,22,114,0,0,1,4,2,1,11,1,0,0,0,0,0,1,28,1,0,0,2,3,0,1,20,0,0,0,0,0,1,1,35,1,
RL8B_YEAST,P29453,P29453 RL8B_YEAST 60S ribosomal protein L8-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL8B PE=1 SV=3,RPL8B,256,OS=Saccharomyces,1,0.9989,14,117,11,117,0,0,0,2,1,4,12,2,2,2,4,0,2,1,29,1,0,0,1,2,4,0,16,0,0,0,1,0,1,6,18,6,
PAP_YEAST,P29468,P29468 PAP_YEAST Poly(A) polymerase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PAP1 PE=1 SV=1,PAP1,568,OS=Saccharomyces,1,0.9978,4,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,
MCM2_YEAST,P29469,P29469 MCM2_YEAST DNA replication licensing factor MCM2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MCM2 PE=1 SV=2,MCM2,868,OS=Saccharomyces,1,0.9921,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,
MCM5_YEAST,P29496,P29496 MCM5_YEAST Minichromosome maintenance protein 5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MCM5 PE=1 SV=1,MCM5,775,OS=Saccharomyces,1,0.9989,11,31,31,31,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,8,0,0,0,0,
FDFT_YEAST,P29704,P29704 FDFT_YEAST Squalene synthase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ERG9 PE=1 SV=2,ERG9,444,OS=Saccharomyces,1,0.9989,5,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,
LCF1_YEAST,P30624,P30624 LCF1_YEAST Long-chain-fatty-acid--CoA ligase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=FAA1 PE=1 SV=1,FAA1,700,OS=Saccharomyces,1,0.999,13,28,25,28,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,14,0,0,0,
MCM4_YEAST,P30665,P30665 MCM4_YEAST DNA replication licensing factor MCM4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MCM4 PE=1 SV=2,MCM4,933,OS=Saccharomyces,1,0.999,26,158,149,158,0,0,0,23,0,0,0,0,0,0,21,14,0,0,0,0,0,0,13,31,0,0,0,0,0,0,7,35,13,1,0,0,
XPO1_YEAST,P30822,P30822 XPO1_YEAST Exportin-1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CRM1 PE=1 SV=1,CRM1,1084,OS=Saccharomyces,1,0.9982,15,35,34,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,19,1,0,0,0,
PSK1_YEAST,P31374,P31374 PSK1_YEAST Serine/threonine-protein kinase PSK1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PSK1 PE=1 SV=2,PSK1,1356,OS=Saccharomyces,1,0.9989,13,33,33,33,0,0,5,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,16,0,1,0,0,0,
PMT2_YEAST,P31382,P31382 PMT2_YEAST Dolichyl-phosphate-mannose--protein mannosyltransferase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PMT2 PE=1 SV=2,PMT2,759,OS=Saccharomyces,1,0.999,5,30,28,30,0,0,0,1,2,0,0,0,0,0,1,0,3,0,0,0,0,0,1,2,5,0,0,0,0,0,1,2,11,1,0,0,
2AAA_YEAST,P31383,P31383 2AAA_YEAST Protein phosphatase PP2A regulatory subunit A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TPD3 PE=1 SV=3,TPD3,635,OS=Saccharomyces,1,0.9988,3,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,
HS104_YEAST,P31539,P31539 HS104_YEAST Heat shock protein 104 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HSP104 PE=1 SV=2,HSP104,908,OS=Saccharomyces,1,0.999,33,171,164,171,0,0,0,29,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,54,2,0,0,0,0,0,0,43,20,0,0,0,
COPG_YEAST,P32074,P32074 COPG_YEAST Coatomer subunit gamma OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SEC21 PE=1 SV=2,SEC21,935,OS=Saccharomyces,1,0.9984,11,28,27,28,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,11,2,1,0,0,
P5CR_YEAST,P32263,P32263 P5CR_YEAST Pyrroline-5-carboxylate reductase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PRO3 PE=1 SV=1,PRO3,286,OS=Saccharomyces,1,0.999,8,50,50,50,0,0,0,0,0,0,4,0,0,0,0,0,0,1,5,0,0,0,0,0,1,5,8,0,0,0,0,0,0,3,23,0,
PROB_YEAST,P32264,P32264 PROB_YEAST Glutamate 5-kinase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PRO1 PE=1 SV=2,PRO1,428,OS=Saccharomyces,1,0.999,9,42,42,42,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,18,6,0,
GLNA_YEAST,P32288,P32288 GLNA_YEAST Glutamine synthetase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GLN1 PE=1 SV=4,GLN1,370,OS=Saccharomyces,1,0.9941,5,16,13,16,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,1,0,
EF2_YEAST,P32324,P32324 EF2_YEAST Elongation factor 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=EFT1 PE=1 SV=1,EFT1,842,OS=Saccharomyces,1,0.999,32,349,345,349,0,0,3,46,8,4,0,0,0,1,10,42,6,2,0,0,0,3,5,58,19,11,0,0,0,1,6,62,34,21,7,0,
YMC1_YEAST,P32331,"P32331 YMC1_YEAST Carrier protein YMC1, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YMC1 PE=3 SV=2",YMC1,307,OS=Saccharomyces,1,0.9989,5,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,
OAC1_YEAST,P32332,P32332 OAC1_YEAST Mitochondrial oxaloacetate transport protein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=OAC1 PE=1 SV=1,OAC1,324,OS=Saccharomyces,1,0.999,10,29,29,29,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,14,0,
IMB3_YEAST,P32337,P32337 IMB3_YEAST Importin subunit beta-3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PSE1 PE=1 SV=2,PSE1,1089,OS=Saccharomyces,1,0.9988,11,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,15,1,0,0,0,
NDI1_YEAST,P32340,"P32340 NDI1_YEAST Rotenone-insensitive NADH-ubiquinone oxidoreductase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NDI1 PE=1 SV=1",NDI1,513,OS=Saccharomyces,1,0.999,8,22,22,22,0,0,0,0,1,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,8,0,0,
IMPX_YEAST,P32351,P32351 IMPX_YEAST Sugar utilization regulatory protein IMP2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=IMP2' PE=1 SV=2,IMP2',346,OS=Saccharomyces,1,0.9981,3,6,6,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,
ERG3_YEAST,P32353,P32353 ERG3_YEAST C-5 sterol desaturase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ERG3 PE=1 SV=1,ERG3,365,OS=Saccharomyces,1,0.9988,2,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,
SMY1_YEAST,P32364,P32364 SMY1_YEAST Kinesin-related protein SMY1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SMY1 PE=1 SV=1,SMY1,656,OS=Saccharomyces,1,0.999,7,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,9,0,0,0,
VA0D_YEAST,P32366,P32366 VA0D_YEAST V-type proton ATPase subunit d OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=VMA6 PE=1 SV=2,VMA6,345,OS=Saccharomyces,1,0.9988,5,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,7,0,
SAC1_YEAST,P32368,P32368 SAC1_YEAST Phosphoinositide phosphatase SAC1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SAC1 PE=1 SV=1,SAC1,623,OS=Saccharomyces,1,0.999,5,12,12,12,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,
PSA5_YEAST,P32379,P32379 PSA5_YEAST Proteasome subunit alpha type-5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PUP2 PE=1 SV=2,PUP2,260,OS=Saccharomyces,1,0.9989,7,21,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,12,0,
ARP2_YEAST,P32381,P32381 ARP2_YEAST Actin-related protein 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ARP2 PE=1 SV=1,ARP2,391,OS=Saccharomyces,1,0.9971,3,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,
DPH2_YEAST,P32461,P32461 DPH2_YEAST Diphthamide biosynthesis protein 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DPH2 PE=1 SV=1,DPH2,534,OS=Saccharomyces,1,0.9989,2,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,
HXT3_YEAST,P32466,P32466 HXT3_YEAST Low-affinity glucose transporter HXT3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HXT3 PE=1 SV=1,HXT3,567,OS=Saccharomyces,1,0.999,3,12,12,12,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,5,0,0,
ERG1_YEAST,P32476,P32476 ERG1_YEAST Squalene monooxygenase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ERG1 PE=1 SV=2,ERG1,496,OS=Saccharomyces,1,0.999,13,42,42,42,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,26,1,0,
IF2G_YEAST,P32481,P32481 IF2G_YEAST Eukaryotic translation initiation factor 2 subunit gamma OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GCD11 PE=1 SV=1,GCD11,527,OS=Saccharomyces,1,0.999,11,29,29,29,0,0,0,0,6,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,10,2,0,0,
LYP1_YEAST,P32487,P32487 LYP1_YEAST Lysine-specific permease OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=LYP1 PE=1 SV=2,LYP1,611,OS=Saccharomyces,1,0.9938,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,
RPN12_YEAST,P32496,P32496 RPN12_YEAST 26S proteasome regulatory subunit RPN12 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPN12 PE=1 SV=3,RPN12,274,OS=Saccharomyces,1,0.9912,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,
