Visible?,Starred?,Identified Proteins (219/221),Accession Number,Alternate ID,Molecular Weight,Protein Grouping Ambiguity,Taxonomy,AFO01,AFO02,AFO03,AFO04,AFO05,AFO06,AFO07,AFO08,AFO09,AFO10,AFO11,AFO12,AFO13
TRUE,Empty,XPO1_YEAST Exportin-1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CRM1 PE=1 SV=1,P30822,,124 kDa,,unknown,45%,72%,0,0,62%,24%,27%,0,70%,0,0,39%,100%
TRUE,Empty,COPB2_YEAST Coatomer subunit beta' OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SEC27 PE=1 SV=1,P41811,,99 kDa,,unknown,0,0,69%,0,0,37%,0,0,90%,0,66%,57%,100%
TRUE,Empty,TBA1_YEAST Tubulin alpha-1 chain OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TUB1 PE=1 SV=2,P09733,,50 kDa,TRUE,unknown,0,67%,0,30%,100%,0,0,0,0,79%,0,56%,0
TRUE,Empty,TCB3_YEAST Tricalbin-3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TCB3 PE=1 SV=1,Q03640,,171 kDa,,unknown,81%,100%,83%,64%,26%,24%,59%,84%,59%,0,95%,21%,44%
TRUE,Empty,RPN1_YEAST 26S proteasome regulatory subunit RPN1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPN1 PE=1 SV=3,P38764,,109 kDa,,unknown,79%,58%,98%,61%,0,0,69%,73%,0,0,71%,53%,100%
TRUE,Empty,"ILVB_YEAST Acetolactate synthase catalytic subunit, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ILV2 PE=1 SV=1",P07342,,75 kDa,,unknown,25%,12%,20%,100%,0,61%,92%,74%,0,89%,68%,76%,15%
TRUE,Empty,GYP5_YEAST GTPase-activating protein GYP5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GYP5 PE=1 SV=1,Q12344,,102 kDa,,unknown,0,72%,100%,44%,15%,75%,98%,0,0,0,71%,75%,14%
TRUE,Empty,GPN1_YEAST GPN-loop GTPase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NPA3 PE=1 SV=1,P47122,,43 kDa,,unknown,68%,83%,0,63%,100%,61%,0,0,18%,45%,0,48%,58%
TRUE,Empty,MPG1_YEAST Mannose-1-phosphate guanyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PSA1 PE=1 SV=2,P41940,,40 kDa,,unknown,0,0,0,18%,98%,100%,0,0,76%,55%,92%,70%,26%
TRUE,Empty,IMB1_YEAST Importin subunit beta-1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=KAP95 PE=1 SV=1,Q06142,,95 kDa,,unknown,19%,0,89%,100%,38%,0,85%,0,0,0,0,98%,29%
TRUE,Empty,SXM1_YEAST Importin beta SMX1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SXM1 PE=1 SV=1,Q04175,,108 kDa,,unknown,0,23%,0,66%,20%,88%,0,0,68%,0,92%,0,100%
TRUE,Empty,NMA1_YEAST Nicotinamide/nicotinic acid mononucleotide adenylyltransferase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NMA1 PE=1 SV=1,Q06178,,46 kDa,TRUE,unknown,38%,27%,26%,0,100%,78%,72%,0,0,0,100%,0,0
TRUE,Empty,SEC63_YEAST Protein translocation protein SEC63 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SEC63 PE=1 SV=2,P14906,,75 kDa,,unknown,17%,0,61%,100%,52%,0,0,0,18%,100%,43%,0,0
TRUE,Empty,"HSP77_YEAST Heat shock protein SSC1, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SSC1 PE=1 SV=1",P0CS90,,71 kDa,TRUE,unknown,39%,60%,0,100%,0,0,0,0,0,94%,27%,69%,0
TRUE,Empty,TCPB_YEAST T-complex protein 1 subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CCT2 PE=1 SV=1,P39076,,57 kDa,,unknown,36%,66%,0,50%,100%,69%,92%,57%,36%,90%,22%,79%,31%
TRUE,Empty,ERG1_YEAST Squalene monooxygenase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ERG1 PE=1 SV=2,P32476,,55 kDa,,unknown,0,48%,55%,30%,100%,45%,89%,70%,60%,0,75%,68%,37%
TRUE,Empty,HSP7F_YEAST Heat shock protein homolog SSE1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SSE1 PE=1 SV=4,P32589,,77 kDa,TRUE,unknown,65%,11%,78%,100%,0,83%,0,64%,83%,10%,0,72%,53%
TRUE,Empty,RL4A_YEAST 60S ribosomal protein L4-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL4A PE=1 SV=4,P10664,,39 kDa,,unknown,59%,35%,54%,33%,0,100%,0,77%,0,80%,91%,89%,0
TRUE,Empty,SSZ1_YEAST Ribosome-associated complex subunit SSZ1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SSZ1 PE=1 SV=2,P38788,,58 kDa,,unknown,88%,60%,61%,100%,0,26%,0,39%,50%,86%,0,61%,29%
TRUE,Empty,ASPG1_YEAST L-asparaginase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ASP1 PE=1 SV=1,P38986,,41 kDa,,unknown,0,0,0,35%,100%,99%,49%,72%,0,41%,99%,71%,21%
TRUE,Empty,RSN1_YEAST Uncharacterized protein RSN1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RSN1 PE=1 SV=1,Q03516,,108 kDa,,unknown,0,0,93%,100%,0,0,72%,0,100%,42%,23%,20%,97%
TRUE,Empty,MSC7_YEAST Putative aldehyde dehydrogenase-like protein YHR039C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MSC7 PE=1 SV=1,P38694,,71 kDa,,unknown,86%,66%,59%,100%,16%,0,43%,0,0,98%,23%,0,24%
TRUE,Empty,LCB2_YEAST Serine palmitoyltransferase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=LCB2 PE=1 SV=1,P40970,,63 kDa,,unknown,44%,0,0,0,100%,59%,70%,63%,0,81%,94%,0,0
TRUE,Empty,"SYWC_YEAST Tryptophan--tRNA ligase, cytoplasmic OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=WRS1 PE=1 SV=1",Q12109,,49 kDa,,unknown,0,0,97%,30%,100%,62%,0,84%,0,81%,0,0,12%
TRUE,Empty,RLA0_YEAST 60S acidic ribosomal protein P0 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPP0 PE=1 SV=2,P05317,,34 kDa,,unknown,18%,0,0,93%,0,100%,0,19%,0,0,49%,98%,0
TRUE,Empty,RNA1_YEAST Ran GTPase-activating protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RNA1 PE=1 SV=2,P11745,,46 kDa,,unknown,0,0,0,0,100%,72%,52%,0,69%,0,0,48%,0
TRUE,Empty,BMH2_YEAST Protein BMH2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=BMH2 PE=1 SV=3,P34730,,31 kDa,TRUE,unknown,95%,50%,0,0,0,100%,0,0,0,0,0,0,0
TRUE,Empty,KA122_YEAST Importin beta-like protein KAP122 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=KAP122 PE=1 SV=1,P32767,,124 kDa,,unknown,0,0,58%,0,0,0,51%,0,0,0,0,0,100%
TRUE,Empty,NEW1_YEAST [NU+] prion formation protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NEW1 PE=1 SV=1,Q08972,,134 kDa,,unknown,88%,0,100%,77%,18%,35%,50%,87%,63%,35%,60%,37%,87%
TRUE,Empty,MTR10_YEAST mRNA transport regulator MTR10 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MTR10 PE=1 SV=1,Q99189,,111 kDa,,unknown,78%,74%,77%,83%,0,0,0,16%,0,88%,71%,77%,100%
TRUE,Empty,XPOT_YEAST Exportin-T OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=LOS1 PE=1 SV=1,P33418,,127 kDa,,unknown,12%,21%,48%,74%,48%,17%,82%,68%,79%,0,0,44%,100%
TRUE,Empty,PDC1_YEAST Pyruvate decarboxylase isozyme 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PDC1 PE=1 SV=7,P06169,,61 kDa,TRUE,unknown,81%,0,0,14%,100%,39%,0,66%,0,90%,21%,50%,45%
TRUE,Empty,LSP1_YEAST Sphingolipid long chain base-responsive protein LSP1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=LSP1 PE=1 SV=1,Q12230,,38 kDa,TRUE,unknown,72%,0,0,0,100%,0,0,46%,92%,80%,100%,0,0
TRUE,Empty,DBP6_YEAST ATP-dependent RNA helicase DBP6 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DBP6 PE=1 SV=1,P53734,,70 kDa,,unknown,61%,0,0,100%,37%,0,0,39%,0,90%,63%,0,63%
TRUE,Empty,GET3_YEAST ATPase GET3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GET3 PE=1 SV=1,Q12154,,39 kDa,,unknown,0,0,0,31%,48%,100%,0,0,72%,43%,0,61%,76%
TRUE,Empty,AP3M_YEAST AP-3 complex subunit mu OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=APM3 PE=1 SV=2,P38153,,55 kDa,,unknown,0,0,61%,0,100%,0,61%,0,69%,0,100%,32%,0
TRUE,Empty,KA120_YEAST Importin beta-like protein KAP120 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=KAP120 PE=1 SV=1,Q02932,,120 kDa,,unknown,0,0,33%,0,0,0,0,72%,62%,20%,93%,0,100%
TRUE,Empty,HRK1_YEAST Serine/threonine-protein kinase HRK1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HRK1 PE=1 SV=1,Q08732,,86 kDa,,unknown,0,72%,51%,0,0,11%,0,0,96%,0,0,0,100%
TRUE,Empty,DOP1_YEAST Protein dopey OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DOP1 PE=1 SV=1,Q03921,,195 kDa,,unknown,19%,100%,88%,71%,33%,31%,0,76%,33%,59%,89%,42%,82%
TRUE,Empty,PFKA2_YEAST ATP-dependent 6-phosphofructokinase subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PFK2 PE=1 SV=4,P16862,,105 kDa,,unknown,0,65%,58%,62%,0,74%,59%,64%,58%,0,68%,0,100%
TRUE,Empty,PGK_YEAST Phosphoglycerate kinase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PGK1 PE=1 SV=2,P00560,,45 kDa,,unknown,0,81%,0,72%,100%,51%,79%,76%,57%,47%,0,0,32%
TRUE,Empty,PMT2_YEAST Dolichyl-phosphate-mannose--protein mannosyltransferase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PMT2 PE=1 SV=2,P31382,,87 kDa,,unknown,16%,88%,24%,100%,0,0,70%,46%,0,100%,0,96%,52%
TRUE,Empty,"THDH_YEAST Threonine dehydratase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ILV1 PE=1 SV=2",P00927,,64 kDa,,unknown,64%,78%,28%,21%,100%,0,99%,44%,0,75%,45%,0,0
TRUE,Empty,MCM6_YEAST DNA replication licensing factor MCM6 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MCM6 PE=1 SV=2,P53091,,113 kDa,TRUE,unknown,0,0,100%,48%,94%,87%,56%,0,74%,55%,0,0,39%
TRUE,Empty,ACO1_YEAST Acyl-CoA desaturase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=OLE1 PE=1 SV=2,P21147,,58 kDa,,unknown,0,25%,71%,52%,100%,0,57%,0,76%,0,25%,88%,37%
TRUE,Empty,SAC1_YEAST Phosphoinositide phosphatase SAC1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SAC1 PE=1 SV=1,P32368,,71 kDa,,unknown,57%,0,89%,100%,41%,0,0,49%,0,100%,56%,27%,0
TRUE,Empty,GNP1_YEAST High-affinity glutamine permease OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GNP1 PE=1 SV=2,P48813,,74 kDa,,unknown,0,88%,48%,82%,100%,63%,0,83%,0,24%,0,19%,7%
TRUE,Empty,FIMB_YEAST Fimbrin OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SAC6 PE=1 SV=1,P32599,,72 kDa,,unknown,0,91%,0,100%,0,72%,0,84%,0,0,74%,89%,0
TRUE,Empty,TCPA_YEAST T-complex protein 1 subunit alpha OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TCP1 PE=1 SV=2,P12612,,60 kDa,,unknown,0,0,0,64%,100%,0,86%,48%,23%,47%,50%,66%,18%
TRUE,Empty,ECM33_YEAST Cell wall protein ECM33 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ECM33 PE=1 SV=3,P38248,,44 kDa,,unknown,68%,97%,0,0,0,41%,70%,100%,0,0,86%,0,0
TRUE,Empty,FHP_YEAST Flavohemoprotein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YHB1 PE=1 SV=2,P39676,,45 kDa,,unknown,53%,0,0,0,100%,89%,75%,0,0,0,100%,0,0
TRUE,Empty,NU188_YEAST Nucleoporin NUP188 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NUP188 PE=1 SV=1,P52593,,189 kDa,,unknown,31%,100%,16%,92%,0,0,43%,23%,0,0,57%,0,35%
TRUE,Empty,"ALG9_YEAST Alpha-1,2-mannosyltransferase ALG9 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ALG9 PE=1 SV=1",P53868,,64 kDa,,unknown,53%,0,62%,0,100%,64%,0,0,0,0,100%,0,0
TRUE,Empty,AAKG_YEAST 5'-AMP-activated protein kinase subunit gamma OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SNF4 PE=1 SV=1,P12904,,36 kDa,,unknown,0,24%,0,0,0,100%,0,37%,0,0,68%,100%,25%
TRUE,Empty,SS120_YEAST Protein SSP120 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SSP120 PE=1 SV=1,P39931,,27 kDa,,unknown,27%,0,0,0,0,100%,0,0,80%,0,0,99%,0
TRUE,Empty,NU192_YEAST Nucleoporin NUP192 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NUP192 PE=1 SV=1,P47054,,192 kDa,,unknown,90%,100%,0,6%,16%,0,0,27%,35%,0,0,0,0
TRUE,Empty,AROC_YEAST Chorismate synthase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ARO2 PE=1 SV=1,P28777,,41 kDa,,unknown,0,77%,42%,66%,68%,100%,93%,0,72%,32%,80%,0,37%
TRUE,Empty,"SYA_YEAST Alanine--tRNA ligase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ALA1 PE=1 SV=3",P40825,,110 kDa,,unknown,82%,64%,34%,76%,24%,85%,0,21%,40%,77%,19%,44%,100%
TRUE,Empty,RS27A_YEAST Ubiquitin-40S ribosomal protein S31 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS31 PE=1 SV=3,P05759,,17 kDa,,unknown,71%,98%,100%,100%,100%,0,0,0,30%,0,0,0,99%
TRUE,Empty,PRS6A_YEAST 26S protease regulatory subunit 6A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPT5 PE=1 SV=3,P33297,,48 kDa,,unknown,72%,0,53%,58%,100%,23%,33%,71%,49%,22%,68%,20%,0
TRUE,Empty,UAP1_YEAST UDP-N-acetylglucosamine pyrophosphorylase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=QRI1 PE=1 SV=1,P43123,,53 kDa,,unknown,84%,32%,13%,0,100%,0,0,0,0,87%,72%,89%,30%
TRUE,Empty,HIP1_YEAST Histidine permease OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HIP1 PE=1 SV=2,P06775,,66 kDa,,unknown,48%,23%,82%,17%,100%,0,72%,37%,0,91%,0,32%,0
TRUE,Empty,PHO91_YEAST Low-affinity phosphate transporter PHO91 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PHO91 PE=1 SV=2,P27514,,99 kDa,,unknown,47%,0,59%,100%,0,0,0,77%,56%,74%,0,63%,18%
TRUE,Empty,LSB5_YEAST LAS seventeen-binding protein 5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=LSB5 PE=1 SV=3,P25369,,40 kDa,,unknown,0,41%,0,21%,100%,41%,73%,72%,0,0,94%,0,0
TRUE,Empty,TCPZ_YEAST T-complex protein 1 subunit zeta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CCT6 PE=1 SV=1,P39079,,60 kDa,,unknown,0,0,48%,100%,0,42%,83%,71%,0,0,0,92%,0
TRUE,Empty,TRP_YEAST Tryptophan synthase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TRP5 PE=1 SV=1,P00931,,77 kDa,,unknown,68%,0,0,100%,0,17%,91%,0,23%,23%,0,53%,8%
TRUE,Empty,SEY1_YEAST Protein SEY1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SEY1 PE=1 SV=1,Q99287,,89 kDa,,unknown,18%,15%,34%,100%,86%,0,0,0,35%,13%,41%,22%,18%
TRUE,Empty,SVF1_YEAST Survival factor 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SVF1 PE=1 SV=1,Q05515,,54 kDa,,unknown,0,0,0,77%,0,93%,0,0,0,100%,0,0,89%
TRUE,Empty,ERG5_YEAST Cytochrome P450 61 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ERG5 PE=1 SV=1,P54781,,61 kDa,,unknown,0,0,80%,0,100%,27%,0,0,0,47%,60%,0,0
TRUE,Empty,PIL1_YEAST Sphingolipid long chain base-responsive protein PIL1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PIL1 PE=1 SV=1,P53252,,38 kDa,TRUE,unknown,0,0,0,0,99%,0,0,49%,0,0,100%,0,44%
TRUE,Empty,"MDL1_YEAST ATP-dependent permease MDL1, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MDL1 PE=1 SV=2",P33310,,76 kDa,,unknown,34%,0,46%,100%,44%,0,0,45%,88%,64%,69%,62%,0
TRUE,Empty,MET18_YEAST DNA repair/transcription protein MET18/MMS19 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MET18 PE=1 SV=1,P40469,,118 kDa,,unknown,56%,21%,43%,0,92%,0,70%,0,50%,31%,0,0,100%
TRUE,Empty,IF4A_YEAST ATP-dependent RNA helicase eIF4A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TIF1 PE=1 SV=3,P10081,,45 kDa,,unknown,63%,80%,42%,24%,100%,0,0,0,0,0,0,64%,47%
TRUE,Empty,GPA1_YEAST Guanine nucleotide-binding protein alpha-1 subunit OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GPA1 PE=1 SV=3,P08539,,54 kDa,,unknown,0,22%,58%,47%,100%,0,56%,0,53%,0,0,50%,34%
TRUE,Empty,YHM2_YEAST Citrate/oxoglutarate carrier protein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YHM2 PE=1 SV=1,Q04013,,34 kDa,,unknown,0,0,0,13%,21%,100%,0,0,54%,72%,68%,57%,21%
TRUE,Empty,SRO9_YEAST RNA-binding protein SRO9 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SRO9 PE=1 SV=2,P25567,,48 kDa,,unknown,67%,0,75%,0,100%,0,0,0,57%,100%,0,0,0
TRUE,Empty,TPO3_YEAST Polyamine transporter 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TPO3 PE=1 SV=1,Q06451,,68 kDa,TRUE,unknown,36%,32%,0,13%,100%,0,0,48%,0,0,91%,54%,0
TRUE,Empty,VAC8_YEAST Vacuolar protein 8 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=VAC8 PE=1 SV=3,P39968,,63 kDa,,unknown,0,45%,31%,0,100%,0,0,41%,0,39%,51%,65%,0
TRUE,Empty,OLA1_YEAST Obg-like ATPase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=OLA1 PE=1 SV=1,P38219,,44 kDa,,unknown,29%,0,27%,62%,100%,0,89%,62%,0,0,0,0,0
TRUE,Empty,ERG3_YEAST C-5 sterol desaturase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ERG3 PE=1 SV=1,P32353,,43 kDa,,unknown,53%,0,0,0,0,100%,56%,65%,0,0,64%,0,0
TRUE,Empty,FDFT_YEAST Squalene synthase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ERG9 PE=1 SV=2,P29704,,52 kDa,,unknown,0,0,61%,0,100%,0,61%,0,0,0,88%,23%,0
TRUE,Empty,VTC3_YEAST Vacuolar transporter chaperone 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=VTC3 PE=1 SV=1,Q02725,,97 kDa,TRUE,unknown,0,0,12%,100%,0,0,23%,0,50%,0,47%,0,96%
TRUE,Empty,VTC4_YEAST Vacuolar transporter chaperone 4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=VTC4 PE=1 SV=2,P47075,,83 kDa,,unknown,0,0,10%,100%,13%,40%,47%,0,0,21%,79%,0,0
TRUE,Empty,SCS2_YEAST Vesicle-associated membrane protein-associated protein SCS2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SCS2 PE=1 SV=3,P40075,,27 kDa,,unknown,51%,0,0,0,0,100%,0,0,0,0,100%,0,11%
TRUE,Empty,"MNN5_YEAST Alpha-1,2-mannosyltransferase MNN5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MNN5 PE=1 SV=2",P46982,,67 kDa,,unknown,0,69%,0,100%,53%,96%,22%,0,0,20%,59%,66%,10%
TRUE,Empty,TPO1_YEAST Polyamine transporter 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TPO1 PE=1 SV=1,Q07824,,64 kDa,,unknown,37%,0,0,52%,100%,36%,72%,42%,0,0,100%,0,0
TRUE,Empty,"NDI1_YEAST Rotenone-insensitive NADH-ubiquinone oxidoreductase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NDI1 PE=1 SV=1",P32340,,57 kDa,,unknown,28%,92%,0,0,100%,25%,47%,0,77%,0,0,54%,7%
TRUE,Empty,RUVB1_YEAST RuvB-like protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RVB1 PE=1 SV=1,Q03940,,50 kDa,,unknown,0,33%,0,27%,100%,0,88%,35%,23%,71%,0,46%,0
TRUE,Empty,RIR2_YEAST Ribonucleoside-diphosphate reductase small chain 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RNR2 PE=1 SV=2,P09938,,46 kDa,,unknown,41%,72%,0,41%,100%,55%,0,43%,0,0,69%,0,0
TRUE,Empty,YKK0_YEAST Probable intramembrane protease YKL100C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YKL100C PE=1 SV=1,P34248,,68 kDa,,unknown,0,77%,87%,100%,54%,0,0,0,0,0,67%,0,31%
TRUE,Empty,TAT1_YEAST Valine/tyrosine/tryptophan amino-acid permease 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TAT1 PE=1 SV=1,P38085,,69 kDa,,unknown,78%,64%,0,0,100%,80%,0,0,0,0,48%,0,0
TRUE,Empty,KPR5_YEAST Ribose-phosphate pyrophosphokinase 5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PRS5 PE=1 SV=1,Q12265,,54 kDa,,unknown,58%,0,0,0,100%,66%,0,0,69%,56%,0,0,0
TRUE,Empty,"ATPG_YEAST ATP synthase subunit gamma, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ATP3 PE=1 SV=1",P38077,,34 kDa,,unknown,17%,21%,37%,0,0,100%,0,0,59%,60%,52%,0,0
TRUE,Empty,ACS2_YEAST Acetyl-coenzyme A synthetase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ACS2 PE=1 SV=1,P52910,,75 kDa,,unknown,0,0,48%,100%,12%,0,0,56%,42%,0,0,28%,21%
TRUE,Empty,IMB2_YEAST Importin subunit beta-2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=KAP104 PE=1 SV=1,P38217,,104 kDa,,unknown,29%,0,58%,0,0,48%,0,69%,0,0,0,0,100%
TRUE,Empty,SC61A_YEAST Protein transport protein SEC61 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SEC61 PE=1 SV=1,P32915,,53 kDa,,unknown,0,0,0,0,0,100%,0,0,76%,0,61%,0,0
TRUE,Empty,"ATPA_YEAST ATP synthase subunit alpha, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ATP1 PE=1 SV=5",P07251,,59 kDa,,unknown,24%,0,34%,63%,100%,0,0,0,69%,0,84%,21%,0
TRUE,Empty,IF2B_YEAST Eukaryotic translation initiation factor 2 subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SUI3 PE=1 SV=2,P09064,,32 kDa,,unknown,0,61%,0,0,0,100%,0,0,0,54%,69%,68%,17%
TRUE,Empty,SERC_YEAST Phosphoserine aminotransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SER1 PE=1 SV=1,P33330,,43 kDa,,unknown,0,0,43%,0,100%,0,71%,45%,0,53%,37%,0,11%
TRUE,Empty,SUB2_YEAST ATP-dependent RNA helicase SUB2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SUB2 PE=1 SV=1,Q07478,,50 kDa,,unknown,23%,0,0,0,100%,73%,28%,0,0,0,98%,0,0
TRUE,Empty,CSE1_YEAST Importin alpha re-exporter OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CSE1 PE=1 SV=2,P33307,,109 kDa,,unknown,0,0,71%,59%,0,0,0,0,58%,0,0,25%,100%
TRUE,Empty,KPR1_YEAST Ribose-phosphate pyrophosphokinase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PRS1 PE=1 SV=1,P32895,,47 kDa,,unknown,0,0,65%,20%,100%,0,0,0,0,74%,0,0,29%
TRUE,Empty,ELO3_YEAST Elongation of fatty acids protein 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ELO3 PE=1 SV=1,P40319,,39 kDa,,unknown,0,0,0,0,12%,100%,0,0,0,0,0,99%,49%
TRUE,Empty,NU120_YEAST Nucleoporin NUP120 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NUP120 PE=1 SV=1,P35729,,120 kDa,,unknown,0,0,26%,0,0,35%,0,25%,0,0,0,27%,100%
