Protein,Protein ID,Entry Name,Gene,Protein Length,Organism,Protein Probability,Top Peptide Probability,Combined Total Peptides,Combined Spectral Count,Combined Unique Spectral Count,Combined Total Spectral Count,AFO-91,AFO-92,AFO-93,AFO-94,AFO-95,AFO-96,AFO-97,AFO-98,AFO-99,AFO-100,AFO-101,AFO-102,AFO-103,AFO-104,AFO-105,AFO-106,AFO-107,AFO-108,AFO-109,AFO-110,AFO-111,AFO-112,AFO-113,AFO-114,AFO-115,AFO-116,AFO-117,AFO-118,AFO-119,AFO-120,AFO-121,AFO-122,AFO-123,AFO-124,AFO-125,AFO-126,AFO-127,AFO-128,AFO-129,AFO-130,AFO-131,AFO-132,AFO-133,AFO-134,AFO-135,AFO-136,AFO-137,AFO-138,Indistinguishable Proteins
NHP2_YEAST,P32495,P32495 NHP2_YEAST H/ACA ribonucleoprotein complex subunit 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NHP2 PE=1 SV=2,NHP2,156,OS=Saccharomyces,1,0.9986,7,49,49,49,0,0,0,0,0,11,3,0,0,0,0,0,0,2,1,0,0,0,0,0,0,8,1,0,0,0,0,0,0,3,4,0,0,0,0,0,0,10,0,0,0,0,0,0,0,5,1,0,
EIF3C_YEAST,P32497,P32497 EIF3C_YEAST Eukaryotic translation initiation factor 3 subunit C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NIP1 PE=1 SV=2,NIP1,812,OS=Saccharomyces,1,0.9989,6,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,
VPH1_YEAST,P32563,"P32563 VPH1_YEAST V-type proton ATPase subunit a, vacuolar isoform OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=VPH1 PE=1 SV=3",VPH1,840,OS=Saccharomyces,1,0.9989,11,27,27,27,0,0,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RPN2_YEAST,P32565,P32565 RPN2_YEAST 26S proteasome regulatory subunit RPN2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPN2 PE=1 SV=4,RPN2,945,OS=Saccharomyces,1,0.9977,11,29,27,29,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,
SNQ2_YEAST,P32568,P32568 SNQ2_YEAST Protein SNQ2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SNQ2 PE=1 SV=2,SNQ2,1501,OS=Saccharomyces,1,0.9983,9,43,19,43,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,0,0,0,0,0,
CBS_YEAST,P32582,P32582 CBS_YEAST Cystathionine beta-synthase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CYS4 PE=1 SV=1,CYS4,507,OS=Saccharomyces,1,0.999,2,14,14,14,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,1,0,0,0,0,
HSP7F_YEAST,P32589,P32589 HSP7F_YEAST Heat shock protein homolog SSE1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SSE1 PE=1 SV=4,SSE1,693,OS=Saccharomyces,1,0.9989,12,71,30,71,0,0,11,2,0,0,0,0,0,9,11,1,0,0,0,0,0,4,10,0,1,0,0,0,0,3,7,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,4,0,0,0,0,0,
ANP1_YEAST,P32629,P32629 ANP1_YEAST Mannan polymerase II complex ANP1 subunit OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ANP1 PE=1 SV=3,ANP1,500,OS=Saccharomyces,1,0.9946,3,6,6,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
ATC5_YEAST,P32660,P32660 ATC5_YEAST Phospholipid-transporting ATPase DNF1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DNF1 PE=1 SV=2,DNF1,1571,OS=Saccharomyces,1,0.999,16,42,29,42,0,2,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,
KA122_YEAST,P32767,P32767 KA122_YEAST Importin beta-like protein KAP122 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=KAP122 PE=1 SV=1,KAP122,1081,OS=Saccharomyces,1,0.9983,7,16,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,
MG101_YEAST,P32787,P32787 MG101_YEAST Mitochondrial genome maintenance protein MGM101 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MGM101 PE=1 SV=1,MGM101,269,OS=Saccharomyces,1,0.999,5,18,18,18,0,0,0,0,6,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,
FRE1_YEAST,P32791,P32791 FRE1_YEAST Ferric/cupric reductase transmembrane component 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=FRE1 PE=1 SV=1,FRE1,686,OS=Saccharomyces,1,0.999,6,19,15,19,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,
AFG2_YEAST,P32794,P32794 AFG2_YEAST ATPase family gene 2 protein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=AFG2 PE=1 SV=1,AFG2,780,OS=Saccharomyces,1,0.99,5,29,29,29,0,0,0,0,4,0,0,0,0,1,4,0,0,0,1,0,0,0,0,0,4,0,0,0,0,2,8,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,1,0,0,0,0,0,
GSP1_YEAST,P32835,P32835 GSP1_YEAST GTP-binding nuclear protein GSP1/CNR1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GSP1 PE=1 SV=1,GSP1,219,OS=Saccharomyces,1,0.9961,3,37,1,37,0,1,1,1,2,3,1,1,0,1,0,2,3,0,1,0,0,0,1,1,2,1,0,0,0,1,1,0,1,1,0,1,0,0,1,1,3,2,0,0,0,0,0,0,1,2,0,0,
PTM1_YEAST,P32857,P32857 PTM1_YEAST Membrane protein PTM1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PTM1 PE=1 SV=2,PTM1,523,OS=Saccharomyces,1,0.9989,3,10,10,10,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
UGPA1_YEAST,P32861,P32861 UGPA1_YEAST UTP--glucose-1-phosphate uridylyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=UGP1 PE=1 SV=1,UGP1,499,OS=Saccharomyces,1,0.999,11,48,48,48,0,0,0,14,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,4,0,0,0,0,
KPR1_YEAST,P32895,P32895 KPR1_YEAST Ribose-phosphate pyrophosphokinase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PRS1 PE=1 SV=1,PRS1,427,OS=Saccharomyces,1,0.999,4,13,13,13,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,
PDC2_YEAST,P32896,P32896 PDC2_YEAST Protein PDC2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PDC2 PE=1 SV=2,PDC2,925,OS=Saccharomyces,1,0.999,17,121,121,121,0,1,22,3,3,0,0,0,0,26,0,1,2,0,0,0,0,17,6,1,2,0,0,0,0,18,1,0,0,0,0,0,0,6,3,1,0,0,0,0,0,0,8,0,0,0,0,0,
SC61A_YEAST,P32915,P32915 SC61A_YEAST Protein transport protein SEC61 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SEC61 PE=1 SV=1,SEC61,480,OS=Saccharomyces,1,0.9951,4,19,19,19,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,
PRS6A_YEAST,P33297,P33297 PRS6A_YEAST 26S protease regulatory subunit 6A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPT5 PE=1 SV=3,RPT5,434,OS=Saccharomyces,1,0.9988,5,14,14,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,4,0,0,0,0,
PRS6B_YEAST,P33298,P33298 PRS6B_YEAST 26S protease regulatory subunit 6B homolog OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPT3 PE=1 SV=2,RPT3,428,OS=Saccharomyces,1,0.9973,6,13,13,13,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,
PRS7_YEAST,P33299,P33299 PRS7_YEAST 26S protease regulatory subunit 7 homolog OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPT1 PE=1 SV=1,RPT1,467,OS=Saccharomyces,1,0.999,10,48,42,48,0,0,0,7,2,0,0,0,0,0,0,5,1,0,0,0,0,0,0,5,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,7,0,0,0,0,
SUR1_YEAST,P33300,P33300 SUR1_YEAST Mannosyl phosphorylinositol ceramide synthase SUR1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SUR1 PE=1 SV=1,SUR1,382,OS=Saccharomyces,1,0.9957,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,
PDR5_YEAST,P33302,P33302 PDR5_YEAST Pleiotropic ABC efflux transporter of multiple drugs OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PDR5 PE=1 SV=1,PDR5,1511,OS=Saccharomyces,1,0.999,22,89,64,89,0,6,2,0,0,0,0,0,0,26,0,0,0,0,0,0,0,28,1,0,0,0,0,0,0,13,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,11,0,0,0,0,0,
SFC1_YEAST,P33303,P33303 SFC1_YEAST Succinate/fumarate mitochondrial transporter OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SFC1 PE=1 SV=2,SFC1,322,OS=Saccharomyces,1,0.9989,6,21,21,21,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,2,0,0,0,
CBF5_YEAST,P33322,P33322 CBF5_YEAST H/ACA ribonucleoprotein complex subunit 4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CBF5 PE=1 SV=1,CBF5,483,OS=Saccharomyces,1,0.999,6,9,9,9,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
SNC2_YEAST,P33328,P33328 SNC2_YEAST Synaptobrevin homolog 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SNC2 PE=1 SV=2,SNC2,115,OS=Saccharomyces,1,0.9968,3,5,4,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
PLSC_YEAST,P33333,P33333 PLSC_YEAST Probable 1-acyl-sn-glycerol-3-phosphate acyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SLC1 PE=1 SV=1,SLC1,303,OS=Saccharomyces,1,0.9957,5,21,21,21,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,4,0,0,0,
XPOT_YEAST,P33418,P33418 XPOT_YEAST Exportin-T OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=LOS1 PE=1 SV=1,LOS1,1100,OS=Saccharomyces,1,0.999,3,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,
RS3A1_YEAST,P33442,P33442 RS3A1_YEAST 40S ribosomal protein S1-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS1A PE=1 SV=2,RPS1A,255,OS=Saccharomyces,1,0.999,4,63,63,63,0,0,2,1,5,6,0,0,0,1,0,1,6,0,0,0,0,1,1,1,5,2,1,0,0,1,1,0,3,5,1,0,0,0,0,1,7,2,0,0,0,0,0,0,5,3,1,0,
DCA13_YEAST,P33750,P33750 DCA13_YEAST Protein SOF1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SOF1 PE=1 SV=1,SOF1,489,OS=Saccharomyces,1,0.999,7,22,22,22,0,0,0,9,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,
GCN1_YEAST,P33892,P33892 GCN1_YEAST Translational activator GCN1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GCN1 PE=1 SV=1,GCN1,2672,OS=Saccharomyces,1,0.9989,14,33,33,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,8,0,0,0,0,0,
CASP_YEAST,P34237,P34237 CASP_YEAST Protein CASP OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=COY1 PE=1 SV=2,COY1,679,OS=Saccharomyces,1,0.9802,4,9,8,9,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
URB1_YEAST,P34241,P34241 URB1_YEAST Nucleolar pre-ribosomal-associated protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=URB1 PE=1 SV=2,URB1,1764,OS=Saccharomyces,1,0.9962,4,11,11,11,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
BMH2_YEAST,P34730,P34730 BMH2_YEAST Protein BMH2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=BMH2 PE=1 SV=3,BMH2,273,OS=Saccharomyces,1,0.9984,2,5,5,5,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,
TSA1_YEAST,P34760,P34760 TSA1_YEAST Peroxiredoxin TSA1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TSA1 PE=1 SV=3,TSA1,196,OS=Saccharomyces,1,0.9828,3,40,31,40,0,0,2,2,3,4,0,0,0,2,1,1,1,0,0,0,0,1,1,2,5,2,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,3,0,0,0,0,1,0,1,2,1,0,
MDJ1_YEAST,P35191,"P35191 MDJ1_YEAST DnaJ homolog 1, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MDJ1 PE=1 SV=1",MDJ1,511,OS=Saccharomyces,1,0.9709,3,3,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,
UTP20_YEAST,P35194,P35194 UTP20_YEAST U3 small nucleolar RNA-associated protein 20 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=UTP20 PE=1 SV=3,UTP20,2493,OS=Saccharomyces,1,0.9756,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
TCTP_YEAST,P35691,P35691 TCTP_YEAST Translationally-controlled tumor protein homolog OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TMA19 PE=1 SV=1,TMA19,167,OS=Saccharomyces,1,0.9988,4,24,24,24,0,0,1,1,3,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,4,0,0,
MNR2_YEAST,P35724,P35724 MNR2_YEAST Manganese resistance protein MNR2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MNR2 PE=1 SV=1,MNR2,969,OS=Saccharomyces,1,0.999,11,115,115,115,0,0,9,6,0,0,0,0,0,17,6,2,0,0,0,0,0,16,7,2,0,0,0,0,0,14,7,0,0,0,0,0,0,5,8,3,0,0,0,0,0,0,13,0,0,0,0,0,
RS27_YEAST,P35997,P35997 RS27_YEAST 40S ribosomal protein S27-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS27A PE=1 SV=1,RPS27A,82,OS=Saccharomyces,1,0.9867,3,14,0,14,0,0,2,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,P38711
EF1G2_YEAST,P36008,P36008 EF1G2_YEAST Elongation factor 1-gamma 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TEF4 PE=1 SV=1,TEF4,412,OS=Saccharomyces,1,0.9989,7,55,55,55,0,0,1,16,0,0,0,0,0,2,2,5,0,0,0,0,0,0,3,3,4,0,0,0,0,0,2,0,0,0,0,0,0,0,1,9,0,0,0,0,1,0,1,3,2,0,0,0,
RL14A_YEAST,P36105,P36105 RL14A_YEAST 60S ribosomal protein L14-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL14A PE=1 SV=1,RPL14A,138,OS=Saccharomyces,1,0.9988,5,93,0,93,0,0,4,5,4,5,4,0,0,5,1,1,3,0,7,0,0,1,2,4,3,2,4,0,0,1,3,1,1,2,5,0,0,0,1,3,2,3,4,0,0,0,2,0,1,3,6,0,P38754
RL1D1_YEAST,P36144,P36144 RL1D1_YEAST Ribosome biogenesis protein UTP30 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=UTP30 PE=1 SV=1,UTP30,274,OS=Saccharomyces,1,0.9987,11,31,31,31,0,0,0,0,13,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,
GLYC_YEAST,P37291,"P37291 GLYC_YEAST Serine hydroxymethyltransferase, cytosolic OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SHM2 PE=1 SV=2",SHM2,469,OS=Saccharomyces,1,0.999,17,87,81,87,0,0,0,18,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,24,1,0,0,0,0,0,0,8,1,0,0,0,
GLYM_YEAST,P37292,"P37292 GLYM_YEAST Serine hydroxymethyltransferase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SHM1 PE=1 SV=2",SHM1,490,OS=Saccharomyces,1,0.9885,4,10,10,10,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,
STV1_YEAST,P37296,"P37296 STV1_YEAST V-type proton ATPase subunit a, Golgi isoform OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=STV1 PE=1 SV=2",STV1,890,OS=Saccharomyces,1,0.998,7,17,17,17,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
STT4_YEAST,P37297,P37297 STT4_YEAST Phosphatidylinositol 4-kinase STT4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=STT4 PE=1 SV=1,STT4,1900,OS=Saccharomyces,1,0.975,2,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
PAM1_YEAST,P37304,P37304 PAM1_YEAST Protein PAM1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PAM1 PE=1 SV=2,PAM1,830,OS=Saccharomyces,1,0.9986,3,9,8,9,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
NOP4_YEAST,P37838,P37838 NOP4_YEAST Nucleolar protein 4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NOP4 PE=1 SV=1,NOP4,685,OS=Saccharomyces,1,0.995,2,3,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GBLP_YEAST,P38011,P38011 GBLP_YEAST Guanine nucleotide-binding protein subunit beta-like protein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ASC1 PE=1 SV=4,ASC1,319,OS=Saccharomyces,1,0.999,7,74,74,74,0,1,4,4,10,0,0,0,0,3,0,3,6,0,0,0,0,1,4,3,10,0,0,0,0,2,3,0,4,1,0,0,0,0,0,2,8,0,0,0,0,0,1,0,4,0,0,0,
RL32_YEAST,P38061,P38061 RL32_YEAST 60S ribosomal protein L32 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL32 PE=1 SV=1,RPL32,130,OS=Saccharomyces,1,0.9961,3,26,26,26,0,0,1,2,1,1,3,0,0,1,0,0,1,0,2,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,2,0,0,0,0,0,2,0,1,0,0,0,0,0,0,2,3,0,
ATPG_YEAST,P38077,"P38077 ATPG_YEAST ATP synthase subunit gamma, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ATP3 PE=1 SV=1",ATP3,311,OS=Saccharomyces,1,0.999,3,14,14,14,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,
BAP2_YEAST,P38084,P38084 BAP2_YEAST Leu/Val/Ile amino-acid permease OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=BAP2 PE=1 SV=2,BAP2,609,OS=Saccharomyces,1,0.9989,5,8,8,8,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,
SYG_YEAST,P38088,"P38088 SYG_YEAST Glycine--tRNA ligase 1, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GRS1 PE=1 SV=3",GRS1,690,OS=Saccharomyces,1,0.9986,5,12,0,12,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P38088-2
RIM2_YEAST,P38127,P38127 RIM2_YEAST Mitochondrial carrier protein RIM2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RIM2 PE=3 SV=1,RIM2,377,OS=Saccharomyces,1,0.9801,3,3,3,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
KTR3_YEAST,P38130,P38130 KTR3_YEAST Probable mannosyltransferase KTR3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=KTR3 PE=1 SV=1,KTR3,404,OS=Saccharomyces,1,0.9989,4,22,22,22,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,
TXTP_YEAST,P38152,P38152 TXTP_YEAST Tricarboxylate transport protein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CTP1 PE=2 SV=3,CTP1,299,OS=Saccharomyces,1,0.9973,3,9,9,9,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,
OLA1_YEAST,P38219,P38219 OLA1_YEAST Obg-like ATPase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=OLA1 PE=1 SV=1,OLA1,394,OS=Saccharomyces,1,0.9983,4,12,12,12,0,0,0,0,4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,
SLT11_YEAST,P38241,P38241 SLT11_YEAST Pre-mRNA-splicing factor SLT11 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ECM2 PE=1 SV=1,ECM2,364,OS=Saccharomyces,1,0.9984,3,10,10,10,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,
