"","gene","pep_cnt","pep_cov","ORF","SGD","DESCRIPTION","degree","pep_cnt_n","pep_cov_n","degree_n","score"
"71","GPD1",2,0.025,"YDL022W","S000002180","NAD-dependent glycerol-3-phosphate dehydrogenase; key enzyme of glycerol synthesis, essential for growth under osmotic stress; expression regulated by high-osmolarity glycerol response pathway; protein abundance increases in response to DNA replication stress; constitutively inactivated via phosphorylation by the protein kinases Ypk1p and Ypk2p, dephosphorylation increases catalytic activity; forms a heterodimer with Pnc1p to facilitate its peroxisomal import",7,0.0512820512820513,0.1875,0.0736842105263158,0.312466261808367
"124","OLE1",2,0.01,"YGL055W","S000003023","Delta(9) fatty acid desaturase; required for monounsaturated fatty acid synthesis and for normal distribution of mitochondria",17,0.0512820512820513,0.075,0.178947368421053,0.305229419703104
"121","NUP188",6,0.01,"YML103C","S000004571","Subunit of the inner ring of the nuclear pore complex (NPC); contributes to NPC organization and nucleocytoplasmic transport; homologous to human NUP188",7,0.153846153846154,0.075,0.0736842105263158,0.30253036437247
"180","SEY1",5,0.014,"YOR165W","S000005691","Dynamin-like GTPase that mediates homotypic ER fusion; has a role in ER morphology; interacts physically and genetically with Yop1p and Rtn1p; functional ortholog of the human atlastin ATL1, defects in which cause a form of the human disease hereditary spastic paraplegia; homolog of Arabidopsis RHD3",6,0.128205128205128,0.105,0.0631578947368421,0.29636302294197
"106","MON2",4,0.006,"YNL297C","S000005241","Protein with a role in endocytosis and vacuole integrity; peripheral membrane protein; interacts with and negatively regulates Arl1p; localizes to the endosome; member of the Sec7p family of proteins",13,0.102564102564103,0.045,0.136842105263158,0.28440620782726
"223","YBR287W",2,0.0125,"YBR287W",NA,NA,13,0.0512820512820513,0.09375,0.136842105263158,0.281874156545209
"85","ILV2",2,0.01,"YMR108W","S000004714","Acetolactate synthase; catalyses the first common step in isoleucine and valine biosynthesis and is the target of several classes of inhibitors, localizes to the mitochondria; expression of the gene is under general amino acid control",14,0.0512820512820513,0.075,0.147368421052632,0.273650472334683
"206","TPO3",3,0.015,"YPR156C","S000006360","Polyamine transporter of the major facilitator superfamily; member of the 12-spanner drug:H(+) antiporter DHA1 family; specific for spermine; localizes to the plasma membrane; TPO3 has a paralog, TPO2, that arose from the whole genome duplication",8,0.0769230769230769,0.1125,0.0842105263157895,0.273633603238866
"112","NDI1",2,0.0125,"YML120C","S000004589","NADH:ubiquinone oxidoreductase; transfers electrons from NADH to ubiquinone in respiratory chain but does not pump protons, in contrast to higher eukaryotic multisubunit respiratory complex I; upon apoptotic stress, is activated in mitochondria by N-terminal cleavage, then translocates to cytoplasm to induce apoptosis; homolog of human AIFM2; yeast NDI1 complements several phenotypes of human cell line with mutated MT-ND4, implicated in Leber hereditary optic neuropathy",12,0.0512820512820513,0.09375,0.126315789473684,0.271347840755735
"105","MNN5",3,0.0175,"YJL186W","S000003722","Alpha-1,2-mannosyltransferase; responsible for addition of the second alpha-1,2-linked mannose of the branches on the mannan backbone of oligosaccharides, localizes to an early Golgi compartment",5,0.0769230769230769,0.13125,0.0526315789473684,0.260804655870445
"145","QRI1",2,0.0075,"YDL103C","S000002261","UDP-N-acetylglucosamine pyrophosphorylase; catalyzes the formation of UDP-N-acetylglucosamine (UDP-GlcNAc), which is important in cell wall biosynthesis, protein N-glycosylation, and GPI anchor biosynthesis; protein abundance increases in response to DNA replication stress",14,0.0512820512820513,0.05625,0.147368421052632,0.254900472334683
"198","TCB3",2,0.00166666666666667,"YML072C","S000004537","Cortical ER protein involved in ER-plasma membrane tethering; one of 6 proteins (Ist2p, Scs2p, Scs22p, Tcb1p, Tcb2p, Tcb3p) that connect ER to the plasma membrane (PM) and regulate PM phosphatidylinositol-4-phosphate (PI4P) levels by controlling access of Sac1p phosphatase to its substrate PI4P in the PM; localized to the bud via specific mRNA transport; non-tagged protein detected in a phosphorylated state in mitochondria; C-termini of Tcb1p, Tcb2p and Tcb3p interact",18,0.0512820512820513,0.0125,0.189473684210526,0.253255735492578
"42","DOP1",2,0.00166666666666667,"YDR141C","S000002548","Golgi-localized, leucine-zipper domain containing protein; involved in endosome to Golgi transport, organization of the ER, establishing cell polarity, and morphogenesis; detected in highly purified mitochondria in high-throughput studies",17,0.0512820512820513,0.0125,0.178947368421053,0.242729419703104
"101","MDL1",2,0.0125,"YLR188W","S000004178","Mitochondrial inner membrane half-type ABC transporter; mediates export of peptides generated upon proteolysis of mitochondrial proteins; plays a role in the regulation of cellular resistance to oxidative stress",9,0.0512820512820513,0.09375,0.0947368421052632,0.239768893387314
"13","ARP3",2,0.0166666666666667,"YJR065C","S000003826","Essential component of the Arp2/3 complex; Arp2/3 is a highly conserved actin nucleation center required for the motility and integrity of actin patches; involved in endocytosis and membrane growth and polarity",6,0.0512820512820513,0.125,0.0631578947368421,0.239439946018893
"165","SAC6",2,0.0133333333333333,"YDR129C","S000002536","Fimbrin, actin-bundling protein; cooperates with Scp1p in organization and maintenance of the actin cytoskeleton; phosphorylated by Cdc28p/Clb2p in metaphase on T103, to regulate conformation, and modulate actin filament binding affinity and actin cable dynamics; relocalizes from the plasma membrane to the cytoplasm upon DNA replication stress; human homologs PLS3 and LCP1 implicated in spinocerebellar ataxia type 2 (SCA2) can each complement yeast null mutant",8,0.0512820512820513,0.1,0.0842105263157895,0.235492577597841
"70","GPA1",2,0.0175,"YHR005C","S000001047","Subunit of the G protein involved in pheromone response; GTP-binding alpha subunit of the heterotrimeric G protein; negatively regulates the mating pathway by sequestering G(beta)gamma and by triggering an adaptive response; activates Vps34p at the endosome; protein abundance increases in response to DNA replication stress",5,0.0512820512820513,0.13125,0.0526315789473684,0.23516363022942
"69","GNP1",3,0.012,"YDR508C","S000002916","High-affinity glutamine permease; also transports Leu, Ser, Thr, Cys, Met and Asn; expression is fully dependent on Grr1p and modulated by the Ssy1p-Ptr3p-Ssy5p (SPS) sensor of extracellular amino acids; GNP1 has a paralog, AGP1, that arose from the whole genome duplication",5,0.0769230769230769,0.09,0.0526315789473684,0.219554655870445
"39","DBP6",3,0.0166666666666667,"YNR038W","S000005321","Essential protein involved in ribosome biogenesis; putative ATP-dependent RNA helicase of the DEAD-box protein family; human homolog DDX51 complements yeast dbp6 mutant",1,0.0769230769230769,0.125,0.0105263157894737,0.212449392712551
"122","NUP192",3,0.005,"YJL039C","S000003576","Essential subunit of inner ring of nuclear pore complex (NPC); plays a role in modulating transport through the NPC; homologous to human NUP205",9,0.0769230769230769,0.0375,0.0947368421052632,0.20915991902834
"126","PDR12",3,0.006,"YPL058C","S000005979","Plasma membrane ATP-binding cassette (ABC) transporter; weak-acid-inducible multidrug transporter required for weak organic acid resistance; induced by sorbate and benzoate and regulated by War1p; mutants exhibit sorbate hypersensitivity",8,0.0769230769230769,0.045,0.0842105263157895,0.206133603238866
"197","TAT1",2,0.0075,"YBR069C","S000000273","Amino acid transporter for valine, leucine, isoleucine, and tyrosine; low-affinity tryptophan and histidine transporter; overexpression confers FK506 and FTY720 resistance; protein abundance increases in response to DNA replication stress",8,0.0512820512820513,0.05625,0.0842105263157895,0.191742577597841
"28","CDC39",3,0.00333333333333333,"YCR093W","S000000689","Subunit of the CCR4-NOT1 core complex; this complex has multiple roles in the regulation of mRNA levels including regulation of transcription and destabilization of mRNA by deadenylation; basal transcription factor that increases initiation and elongation; activates the ATPase activity of Dhh1p, resulting in processing body disassembly",8,0.0769230769230769,0.025,0.0842105263157895,0.186133603238866
"173","SEC23",2,0.0075,"YPR181C","S000006385","GTPase-activating protein, stimulates the GTPase activity of Sar1p; component of the Sec23p-Sec24p heterodimer of the COPII vesicle coat, involved in ER to Golgi transport; substrate of Ubp3/Bre5 complex; ubiquitylated by Ub-ligase Rsp5p; proteasome-mediated degradation of Sec23p is regulated by Cdc48p",7,0.0512820512820513,0.05625,0.0736842105263158,0.181216261808367
"75","HIP1",2,0.012,"YGR191W","S000003423","High-affinity histidine permease; also involved in the transport of manganese ions",3,0.0512820512820513,0.09,0.0315789473684211,0.172860998650472
"74","GYP5",2,0.006,"YPL249C","S000006170","GTPase-activating protein (GAP) for yeast Rab family members; involved in ER to Golgi trafficking; exhibits GAP activity toward Ypt1p that is stimulated by Gyl1p, also acts on Sec4p; interacts with Gyl1p, Rvs161p and Rvs167p; involved in recruiting Rvs167p to the bud tip during polarized growth; relocalizes from bud neck to cytoplasm upon DNA replication stress; GYP5 has a paralog, GYL1, that arose from the whole genome duplication",4,0.0512820512820513,0.045,0.0421052631578947,0.138387314439946
"229","YKL100C",2,0.01,"YKL100C",NA,NA,NA,0.0512820512820513,0.075,NA,0.126282051282051
