"","GENENAME","ENTREZID","ENSEMBL","DESCRIPTION","min_peps","min_prob","min_crap_expt","orf_name","status","pma_int"
"1029","PSA1","851504","YDL055C","GDP-mannose pyrophosphorylase (mannose-1-phosphate guanyltransferase); synthesizes GDP-mannose from GTP and mannose-1-phosphate in cell wall biosynthesis; required for normal cell wall structure","1","80","11","YDL055C","Interaction Data Present","Not A PMA1 Interactor"
"1049","QRI1","851455","YDL103C","UDP-N-acetylglucosamine pyrophosphorylase; catalyzes the formation of UDP-N-acetylglucosamine (UDP-GlcNAc), which is important in cell wall biosynthesis, protein N-glycosylation, and GPI anchor biosynthesis; protein abundance increases in response to DNA replication stress","1","80","11","YDL103C","Interaction Data Present","Not A PMA1 Interactor"
"1058","RNA1","855275","YMR235C","GTPase activating protein (GAP) for Gsp1p; involved in nuclear transport","1","80","11","YMR235C","Interaction Data Present","Not A PMA1 Interactor"
"1072","RNR2","853427","YJL026W","Ribonucleotide-diphosphate reductase (RNR), small subunit; the RNR complex catalyzes the rate-limiting step in dNTP synthesis and is regulated by DNA replication and DNA damage checkpoint pathways via localization of the small subunits; RNR2 has a paralog, RNR4, that arose from the whole genome duplication","1","80","11","YJL026W","Interaction Data Present","Not A PMA1 Interactor"
"1089","RPB2","854322","YOR151C","RNA polymerase II second largest subunit B150; part of central core; similar to bacterial beta subunit","1","80","11","YOR151C","Interaction Data Present","Not A PMA1 Interactor"
"1100","RPG1","852371","YBR079C","eIF3a subunit of the eukaryotic translation initiation factor 3 (eIF3); subunit of the core complex of eIF3; essential for translation; part of a Prt1p-Rpg1p-Nip1p subcomplex that stimulates binding of mRNA and tRNA(i)Met to ribosomes; involved in translation reinitiation; eIF3 is also involved in programmed stop codon readthrough","1","80","11","YBR079C","Interaction Data Present","Not A PMA1 Interactor"
"1113","RPT5","854284","YOR117W","ATPase of the 19S regulatory particle of the 26S proteasome; one of six ATPases of the regulatory particle; involved in the degradation of ubiquitinated substrates; recruited to the GAL1-10 promoter region upon induction of transcription; similar to human TBP1","1","80","11","YOR117W","Interaction Data Present","Not A PMA1 Interactor"
"1125","RVB1","851771","YDR190C","ATP-dependent DNA helicase, also known as pontin; member of the AAA+ and RuvB-like protein families; similar to Rvb2p; conserved component of multiple complexes including the INO80 complex, the Swr1 complex, and the R2TP complex (Rvb1-Rvb2-Tah1-Pih1); involved in multiple processes such as chromatin remodeling, box C/D snoRNP assembly, and RNA polymerase II assembly","1","80","11","YDR190C","Interaction Data Present","Not A PMA1 Interactor"
"1137","SAC6","851707","YDR129C","Fimbrin, actin-bundling protein; cooperates with Scp1p in organization and maintenance of the actin cytoskeleton; phosphorylated by Cdc28p/Clb2p in metaphase on T103, to regulate conformation, and modulate actin filament binding affinity and actin cable dynamics; relocalizes from the plasma membrane to the cytoplasm upon DNA replication stress; human homologs PLS3 and LCP1 implicated in spinocerebellar ataxia type 2 (SCA2) can each complement yeast null mutant","1","80","11","YDR129C","Interaction Data Present","Not A PMA1 Interactor"
"1151","SEC17","852230","YBL050W","Alpha-SNAP cochaperone; SNARE-complex adaptor for Sec18 (NSF) during the disassembly of postfusion cis-SNARE complexes; stimulates the ATPase activity of Sec18p; peripheral membrane protein required for vesicular transport between ER and Golgi, the 'priming' step in homotypic vacuole fusion, and autophagy; similar to mammalian alpha-SNAP","1","80","11","YBL050W","No Interaction Data","Not A PMA1 Interactor"
"1161","SEC18","852372","YBR080C","AAA ATPase and SNARE disassembly chaperone; required for vesicular transport between ER and Golgi, the 'priming' step in homotypic vacuole fusion, autophagy, and protein secretion; releases Sec17p from SNAP complexes; has similarity to mammalian N-ethylmaleimide-sensitive factor (NSF)","1","80","11","YBR080C","Interaction Data Present","Not A PMA1 Interactor"
"1175","SEC23","856311","YPR181C","GTPase-activating protein, stimulates the GTPase activity of Sar1p; component of the Sec23p-Sec24p heterodimer of the COPII vesicle coat, involved in ER to Golgi transport; substrate of Ubp3/Bre5 complex; ubiquitylated by Ub-ligase Rsp5p; proteasome-mediated degradation of Sec23p is regulated by Cdc48p","1","80","11","YPR181C","Interaction Data Present","Not A PMA1 Interactor"
"1186","SEC61","851095","YLR378C","Conserved ER protein translocation channel; essential subunit of Sec61 complex (Sec61p, Sbh1p, and Sss1p); forms channel for SRP-dependent protein import; with Sec63 complex allows SRP-independent protein import into ER; involved in posttranslational soluble protein import into the ER, ERAD of soluble substrates, and misfolded soluble protein export from the ER","1","80","11","YLR378C","Interaction Data Present","Not A PMA1 Interactor"
"1204","SER1","854356","YOR184W","3-phosphoserine aminotransferase; catalyzes the formation of phosphoserine from 3-phosphohydroxypyruvate, required for serine and glycine biosynthesis; regulated by the general control of amino acid biosynthesis mediated by Gcn4p; protein abundance increases in response to DNA replication stress","1","80","11","YOR184W","Interaction Data Present","Not A PMA1 Interactor"
"1235","SEY1","854336","YOR165W","Dynamin-like GTPase that mediates homotypic ER fusion; has a role in ER morphology; interacts physically and genetically with Yop1p and Rtn1p; functional ortholog of the human atlastin ATL1, defects in which cause a form of the human disease hereditary spastic paraplegia; homolog of Arabidopsis RHD3","1","80","11","YOR165W","Interaction Data Present","Not A PMA1 Interactor"
"1278","SPF1","856681","YEL031W","P-type ATPase, ion transporter of the ER membrane; required to maintain normal lipid composition of intracellular compartments and proper targeting of mitochondrial outer membrane tail-anchored proteins; involved in ER function and Ca2+ homeostasis; required for regulating Hmg2p degradation; confers sensitivity to a killer toxin (SMKT) produced by Pichia farinosa KK1","1","80","11","YEL031W","Interaction Data Present","Not A PMA1 Interactor"
"1288","SSC1","853503","YJR045C","Hsp70 family ATPase; constituent of the import motor component of the Translocase of the Inner Mitochondrial membrane (TIM23 complex); involved in protein translocation and folding; subunit of SceI endonuclease; SSC1 has a paralog, ECM10, that arose from the whole genome duplication","1","80","11","YJR045C","Interaction Data Present","Not A PMA1 Interactor"
"1307","SSE1","855998","YPL106C","ATPase component of heat shock protein Hsp90 chaperone complex; serves as nucleotide exchange factor to load ATP onto the SSA class of cytosolic Hsp70s; plays a role in prion propagation and determining prion variants; binds unfolded proteins; member of Hsp110 subclass of HSP70 proteins; deletion results in spindle elongation in S phase; SSE1 has a paralog, SSE2, that arose from the whole genome duplication","1","80","11","YPL106C","Interaction Data Present","Not A PMA1 Interactor"
"1316","SSZ1","856461","YHR064C","Hsp70 protein that interacts with Zuo1p (a DnaJ homolog); interacts with Zuo1p to form a ribosome-associated complex that binds the ribosome via the Zuo1p subunit; also involved in pleiotropic drug resistance via sequential activation of PDR1 and PDR5; binds ATP","1","80","11","YHR064C","Interaction Data Present","Not A PMA1 Interactor"
"1323","SUI3","855838","YPL237W","Beta subunit of the translation initiation factor eIF2; involved in the identification of the start codon; proposed to be involved in mRNA binding","1","80","11","YPL237W","Interaction Data Present","Not A PMA1 Interactor"
"1337","TAT1","852361","YBR069C","Amino acid transporter for valine, leucine, isoleucine, and tyrosine; low-affinity tryptophan and histidine transporter; overexpression confers FK506 and FTY720 resistance; protein abundance increases in response to DNA replication stress","1","80","11","YBR069C","Interaction Data Present","Not A PMA1 Interactor"
"1344","TCB3","854903","YML072C","Cortical ER protein involved in ER-plasma membrane tethering; one of 6 proteins (Ist2p, Scs2p, Scs22p, Tcb1p, Tcb2p, Tcb3p) that connect ER to the plasma membrane (PM) and regulate PM phosphatidylinositol-4-phosphate (PI4P) levels by controlling access of Sac1p phosphatase to its substrate PI4P in the PM; localized to the bud via specific mRNA transport; non-tagged protein detected in a phosphorylated state in mitochondria; C-termini of Tcb1p, Tcb2p and Tcb3p interact","1","80","11","YML072C","Interaction Data Present","Not A PMA1 Interactor"
"1360","TCP1","851798","YDR212W","Alpha subunit of chaperonin-containing T-complex; complex mediates protein folding in the cytosol; involved in actin cytoskeleton maintenance; overexpression in neurons suppresses formation of pathogenic conformations of huntingtin protein","1","80","11","YDR212W","Interaction Data Present","Not A PMA1 Interactor"
"1407","TOM1","852068","YDR457W","E3 ubiquitin ligase of the hect-domain class; has a role in mRNA export from the nucleus and may regulate transcriptional coactivators; involved in degradation of excess histones; interacts with Dia2p and is required for Dia2p degradation; required to target Cdc6p for ubiquitin-mediated destruction during G1 phase","1","80","11","YDR457W","Interaction Data Present","Not A PMA1 Interactor"
"1419","TPO3","856279","YPR156C","Polyamine transporter of the major facilitator superfamily; member of the 12-spanner drug:H(+) antiporter DHA1 family; specific for spermine; localizes to the plasma membrane; TPO3 has a paralog, TPO2, that arose from the whole genome duplication","1","80","11","YPR156C","Interaction Data Present","Not A PMA1 Interactor"
"1452","TRM3","851446","YDL112W","2'-O-ribose methyltransferase; catalyzes the ribose methylation of the guanosine nucleotide at position 18 of tRNAs","1","80","11","YDL112W","Interaction Data Present","Not A PMA1 Interactor"
"1471","TRP5","852858","YGL026C","Tryptophan synthase; catalyzes the last step of tryptophan biosynthesis; regulated by the general control system of amino acid biosynthesis","1","80","11","YGL026C","Interaction Data Present","Not A PMA1 Interactor"
"1481","TUB1","854889","YML085C","Alpha-tubulin; associates with beta-tubulin (Tub2p) to form tubulin dimer, which polymerizes to form microtubules; relative distribution to nuclear foci increases upon DNA replication stress; TUB1 has a paralog, TUB3, that arose from the whole genome duplication","1","80","11","YML085C","Interaction Data Present","Not A PMA1 Interactor"
"1504","TUB2","850506","YFL037W","Beta-tubulin; associates with alpha-tubulin (Tub1p and Tub3p) to form tubulin dimer, which polymerizes to form microtubules; mutation in human ortholog is associated with congenital fibrosis of the extraocular muscles (CFEOM) with polymicrogyria","1","80","11","YFL037W","Interaction Data Present","Not A PMA1 Interactor"
"1529","UFD4","853859","YKL010C","Ubiquitin-protein ligase (E3); interacts with Rpt4p and Rpt6p, two subunits of the 19S particle of the 26S proteasome; cytoplasmic E3 involved in the degradation of ubiquitin fusion proteins; relative distribution to the nucleus increases upon DNA replication stress","1","80","11","YKL010C","Interaction Data Present","Not A PMA1 Interactor"
"1552","URA2","853311","YJL130C","Bifunctional carbamoylphosphate synthetase/aspartate transcarbamylase; catalyzes the first two enzymatic steps in the de novo biosynthesis of pyrimidines; both activities are subject to feedback inhibition by UTP","1","80","11","YJL130C","Interaction Data Present","Not A PMA1 Interactor"
"1561","URA7","852241","YBL039C","Major CTP synthase isozyme (see also URA8); catalyzes the ATP-dependent transfer of the amide nitrogen from glutamine to UTP, forming CTP, the final step in de novo biosynthesis of pyrimidines; involved in phospholipid biosynthesis; capable of forming cytoplasmic filaments termed cytoophidium, especially during conditions of glucose depletion; URA7 has a paralog, URA8, that arose from the whole genome duplication","1","80","11","YBL039C","No Interaction Data","Not A PMA1 Interactor"
"1576","VAC8","856702","YEL013W","Phosphorylated and palmitoylated vacuolar membrane protein; interacts with Atg13p, required for the cytoplasm-to-vacuole targeting (Cvt) pathway; interacts with Nvj1p to form nucleus-vacuole junctions","1","80","11","YEL013W","Interaction Data Present","Not A PMA1 Interactor"
"1581","VMA1","851342","YDL185W","Subunit A of the V1 peripheral membrane domain of V-ATPase; protein precursor undergoes self-catalyzed splicing to yield the extein Tfp1p and the intein Vde (PI-SceI), which is a site-specific endonuclease; the V1 peripheral membrane domain of the vacuolar H+-ATPase (V-ATPase) has eight subunits; involved in methionine restriction extension of chronological lifespan in an autophagy-dependent manner","1","80","11","YDL185W","Interaction Data Present","Not A PMA1 Interactor"
"1620","VMA2","852424","YBR127C","Subunit B of V1 peripheral membrane domain of vacuolar H+-ATPase; electrogenic proton pump found throughout the endomembrane system; contains nucleotide binding sites; also detected in the cytoplasm; protein abundance increases in response to DNA replication stress; human homolog ATP6V1B1, implicated in autosomal-recessive distal renal tubular acidosis (RTA) with sensorineural deafness, complements yeast null mutant","1","80","11","YBR127C","Interaction Data Present","Not A PMA1 Interactor"
"1635","VMA6","851168","YLR447C","Subunit d of the V0 integral membrane domain of V-ATPase; part of the electrogenic proton pump found in the endomembrane system; required for V1 domain assembly on the vacuolar membrane; the V0 integral membrane domain of vacuolar H+-ATPase (V-ATPase) has five subunits","1","80","11","YLR447C","Interaction Data Present","Not A PMA1 Interactor"
"1650","VTC4","853441","YJL012C","Vacuolar membrane polyphosphate polymerase; subunit of the vacuolar transporter chaperone (VTC) complex involved in synthesis and transfer of polyP to the vacuole; regulates membrane trafficking; role in non-autophagic vacuolar fusion; protein abundance increases in response to DNA replication stress","1","80","11","YJL012C","Interaction Data Present","Not A PMA1 Interactor"
"1667","WRS1","854056","YOL097C","Cytoplasmic tryptophanyl-tRNA synthetase; aminoacylates tryptophanyl-tRNA; human homolog WARS can complement yeast null mutant","1","80","11","YOL097C","No Interaction Data","Not A PMA1 Interactor"
"1672","YBR287W",NA,NA,NA,"1","80","11","YBR287W","Interaction Data Present","Not A PMA1 Interactor"
"1692","YHM2","855282","YMR241W","Citrate and oxoglutarate carrier protein; exports citrate from and imports oxoglutarate into the mitochondrion, causing net export of NADPH reducing equivalents; also associates with mt nucleoids and has a role in replication and segregation of the mt genome","1","80","11","YMR241W","Interaction Data Present","Not A PMA1 Interactor"
"1701","YHR020W",NA,NA,NA,"1","80","11","YHR020W","Interaction Data Present","Not A PMA1 Interactor"
"1714","YKL100C",NA,NA,NA,"1","80","11","YKL100C","Interaction Data Present","Not A PMA1 Interactor"
"1728","YMC1","856171","YPR058W","Secondary mitochondrial inner membrane glycine transporter; required with HEM25 for the transport of glycine into mitochondria for the initiation of heme biosynthesis; proposed role in oleate metabolism and glutamate biosynthesis; member of the mitochondrial carrier (MCF) family; localizes to the vacuole in response to H2O2; YMC1 has a paralog, YMC2, that arose from the whole genome duplication","1","80","11","YPR058W","Interaction Data Present","Not A PMA1 Interactor"
"1750","YPK1","853733","YKL126W","S/T protein kinase; phosphorylates, downregulates flippase activator Fpk1p; inactivates Orm1p and Orm2p by phosphorylation in response to compromised sphingolipid synthesis; involved in the TORC-dependent phosphorylation of ribosomal proteins Rps6a/b (S6); mutations affect receptor-mediated endocytosis and sphingolipid-mediated and cell integrity signaling pathways; human homolog SGK1 can complement a null mutant; human homolog SGK2 can complement a ypk1 ypk2 double mutant","1","80","11","YKL126W","Interaction Data Present","Not A PMA1 Interactor"
"1762","YRB1","851565","YDR002W","Ran GTPase binding protein; involved in nuclear protein import and RNA export, ubiquitin-mediated protein degradation during the cell cycle; shuttles between the nucleus and cytoplasm; is essential; homolog of human RanBP1","1","80","11","YDR002W","Interaction Data Present","Not A PMA1 Interactor"
"6","ACS2","850846","YLR153C","Acetyl-coA synthetase isoform; along with Acs1p, acetyl-coA synthetase isoform is the nuclear source of acetyl-coA for histone acetylation; mutants affect global transcription; required for growth on glucose; expressed under anaerobic conditions","1","80","13","YLR153C","Interaction Data Present","Not A PMA1 Interactor"
"31","ADE5,7","852617","YGL234W","Enzyme of the 'de novo' purine nucleotide biosynthetic pathway; contains aminoimidazole ribotide synthetase and glycinamide ribotide synthetase activities","1","80","13","YGL234W","Interaction Data Present","Not A PMA1 Interactor"
"44","ARO2","852729","YGL148W","Bifunctional chorismate synthase and flavin reductase; catalyzes the conversion of 5-enolpyruvylshikimate 3-phosphate (EPSP) to form chorismate, which is a precursor to aromatic amino acids; protein abundance increases in response to DNA replication stress","1","80","13","YGL148W","Interaction Data Present","Not A PMA1 Interactor"
"63","ARP3","853528","YJR065C","Essential component of the Arp2/3 complex; Arp2/3 is a highly conserved actin nucleation center required for the motility and integrity of actin patches; involved in endocytosis and membrane growth and polarity","1","80","13","YJR065C","Interaction Data Present","Not A PMA1 Interactor"
"80","ATP2","853585","YJR121W","Beta subunit of the F1 sector of mitochondrial F1F0 ATP synthase; which is a large, evolutionarily conserved enzyme complex required for ATP synthesis; F1 translationally regulates ATP6 and ATP8 expression to achieve a balanced output of ATP synthase genes encoded in nucleus and mitochondria; phosphorylated","1","80","13","YJR121W","Interaction Data Present","Not A PMA1 Interactor"
"89","ATP3","852327","YBR039W","Gamma subunit of the F1 sector of mitochondrial F1F0 ATP synthase; F1F0 ATP synthase is a large, evolutionarily conserved enzyme complex required for ATP synthesis","1","80","13","YBR039W","Interaction Data Present","Not A PMA1 Interactor"
"118","BMH2","851676","YDR099W","14-3-3 protein, minor isoform; controls proteome at post-transcriptional level, binds proteins and DNA, involved in regulation of many processes including exocytosis, vesicle transport, Ras/MAPK signaling, and rapamycin-sensitive signaling; protein increases in abundance and relative distribution to the nucleus increases upon DNA replication stress; abundance relative to Bmh1p increases during sporulation","1","80","13","YDR099W","Interaction Data Present","Not A PMA1 Interactor"
"127","CCC1","850917","YLR220W","Vacuolar Fe2+/Mn2+ transporter; suppresses respiratory deficit of yfh1 mutants, which lack the ortholog of mammalian frataxin, by preventing mitochondrial iron accumulation; relative distribution to the vacuole decreases upon DNA replication stress","1","80","13","YLR220W","Interaction Data Present","Not A PMA1 Interactor"
"145","CCT2","854664","YIL142W","Subunit beta of the cytosolic chaperonin Cct ring complex; related to Tcp1p, required for the assembly of actin and tubulins in vivo","1","80","13","YIL142W","Interaction Data Present","Not A PMA1 Interactor"
"163","CCT5","853527","YJR064W","Subunit of the cytosolic chaperonin Cct ring complex; related to Tcp1p, required for the assembly of actin and tubulins in vivo","1","80","13","YJR064W","Interaction Data Present","Not A PMA1 Interactor"
"180","CCT6","851768","YDR188W","Subunit of the cytosolic chaperonin Cct ring complex; related to Tcp1p, essential protein that is required for the assembly of actin and tubulins in vivo; contains an ATP-binding motif","1","80","13","YDR188W","Interaction Data Present","Not A PMA1 Interactor"
"183","CDC39","850455","YCR093W","Subunit of the CCR4-NOT1 core complex; this complex has multiple roles in the regulation of mRNA levels including regulation of transcription and destabilization of mRNA by deadenylation; basal transcription factor that increases initiation and elongation; activates the ATPase activity of Dhh1p, resulting in processing body disassembly","1","80","13","YCR093W","Interaction Data Present","Not A PMA1 Interactor"
"204","CDC60","855943","YPL160W","Cytosolic leucyl tRNA synthetase; ligates leucine to the appropriate tRNA; human homolog LARS can complement yeast temperature-sensitive mutant at restrictive temperature","1","80","13","YPL160W","Interaction Data Present","Not A PMA1 Interactor"
"209","CHC1","852666","YGL206C","Clathrin heavy chain; subunit of the major coat protein involved in intracellular protein transport and endocytosis; the clathrin triskelion is a trimeric molecule composed of three heavy chains that radiate from a vertex and three light chains which bind noncovalently near the vertex of the triskelion; the light chain (CLC1) is thought to regulate function","1","80","13","YGL206C","Interaction Data Present","Not A PMA1 Interactor"
"234","CPA2","853573","YJR109C","Large subunit of carbamoyl phosphate synthetase; carbamoyl phosphate synthetase catalyzes a step in the synthesis of citrulline, an arginine precursor","1","80","13","YJR109C","Interaction Data Present","Not A PMA1 Interactor"
"249","DBP6","855774","YNR038W","Essential protein involved in ribosome biogenesis; putative ATP-dependent RNA helicase of the DEAD-box protein family; human homolog DDX51 complements yeast dbp6 mutant","1","80","13","YNR038W","Interaction Data Present","Not A PMA1 Interactor"
"251","DOP1","851719","YDR141C","Golgi-localized, leucine-zipper domain containing protein; involved in endosome to Golgi transport, organization of the ER, establishing cell polarity, and morphogenesis; detected in highly purified mitochondria in high-throughput studies","1","80","13","YDR141C","Interaction Data Present","Not A PMA1 Interactor"
"265","ENO2","856579","YHR174W","Enolase II, a phosphopyruvate hydratase; catalyzes conversion of 2-phosphoglycerate to phosphoenolpyruvate during glycolysis and the reverse reaction during gluconeogenesis; expression induced in response to glucose; ENO2 has a paralog, ENO1, that arose from the whole genome duplication","1","80","13","YHR174W","Interaction Data Present","Not A PMA1 Interactor"
"284","ERG1","853086","YGR175C","Squalene epoxidase; catalyzes the epoxidation of squalene to 2,3-oxidosqualene; plays an essential role in the ergosterol-biosynthesis pathway and is the specific target of the antifungal drug terbinafine; human SQLE functionally complements the lethality of the erg1 null mutation","1","80","13","YGR175C","Interaction Data Present","Not A PMA1 Interactor"
"299","ERG3","850745","YLR056W","C-5 sterol desaturase; glycoprotein that catalyzes the introduction of a C-5(6) double bond into episterol, a precursor in ergosterol biosynthesis; transcriptionally down-regulated when ergosterol is in excess; mutants are viable, but cannot grow on non-fermentable carbon sources; substrate of HRD ubiquitin ligase; mutation is functionally complemented by human SC5D","1","80","13","YLR056W","Interaction Data Present","Not A PMA1 Interactor"
"306","ERG5","855029","YMR015C","C-22 sterol desaturase; a cytochrome P450 enzyme that catalyzes the formation of the C-22(23) double bond in the sterol side chain in ergosterol biosynthesis; may be a target of azole antifungal drugs","1","80","13","YMR015C","Interaction Data Present","Not A PMA1 Interactor"
"317","ERG9","856597","YHR190W","Farnesyl-diphosphate farnesyl transferase (squalene synthase); joins two farnesyl pyrophosphate moieties to form squalene in the sterol biosynthesis pathway","1","80","13","YHR190W","Interaction Data Present","Not A PMA1 Interactor"
"335","FAS1","853653","YKL182W","Beta subunit of fatty acid synthetase; complex catalyzes the synthesis of long-chain saturated fatty acids; contains acetyltransacylase, dehydratase, enoyl reductase, malonyl transacylase, and palmitoyl transacylase activities","1","80","13","YKL182W","Interaction Data Present","Not A PMA1 Interactor"
"347","FKS1","851055","YLR342W","Catalytic subunit of 1,3-beta-D-glucan synthase; functionally redundant with alternate catalytic subunit Gsc2p; binds to regulatory subunit Rho1p; involved in cell wall synthesis and maintenance; localizes to sites of cell wall remodeling; FKS1 has a paralog, GSC2, that arose from the whole genome duplication","1","80","13","YLR342W","Interaction Data Present","Not A PMA1 Interactor"
"364","FTR1","856888","YER145C","High affinity iron permease; involved in the transport of iron across the plasma membrane; forms complex with Fet3p; expression is regulated by iron; protein abundance increases in response to DNA replication stress","1","80","13","YER145C","Interaction Data Present","Not A PMA1 Interactor"
"369","GCD1","854434","YOR260W","Gamma subunit of the translation initiation factor eIF2B; the guanine-nucleotide exchange factor for eIF2; activity subsequently regulated by phosphorylated eIF2; first identified as a negative regulator of GCN4 expression","1","80","13","YOR260W","Interaction Data Present","Not A PMA1 Interactor"
"391","GCN1","852680","YGL195W","Positive regulator of the Gcn2p kinase activity; forms a complex with Gcn20p; proposed to stimulate Gcn2p activation by an uncharged tRNA","1","80","13","YGL195W","Interaction Data Present","Not A PMA1 Interactor"
"403","GDE1","855994","YPL110C","Glycerophosphocholine (GroPCho) phosphodiesterase; hydrolyzes GroPCho to choline and glycerolphosphate, for use as a phosphate source and as a precursor for phosphocholine synthesis; may interact with ribosomes","1","80","13","YPL110C","Interaction Data Present","Not A PMA1 Interactor"
"427","GEA2","856691","YEL022W","Guanine nucleotide exchange factor for ADP ribosylation factors (ARFs); involved in vesicular transport between the Golgi and ER, Golgi organization, and actin cytoskeleton organization; GEA2 has a paralog, GEA1, that arose from the whole genome duplication","1","80","13","YEL022W","Interaction Data Present","Not A PMA1 Interactor"
"453","GET3","851458","YDL100C","Guanine nucleotide exchange factor for Gpa1p; amplifies G protein signaling; functions as a chaperone under ATP-depleted oxidative stress conditions; subunit of GET complex, involved in ATP dependent Golgi to ER trafficking and insertion of tail-anchored (TA) proteins into ER membrane under non-stress conditions; binds as dimer to transmembrane domain (TMD) cargo, shielding TMDs from aqueous solvent; protein abundance increases under DNA replication stress","1","80","13","YDL100C","Interaction Data Present","Not A PMA1 Interactor"
"470","GGA2","856508","YHR108W","Protein that regulates Arf1p, Arf2p to facilitate Golgi trafficking; binds phosphatidylinositol 4-phosphate, which plays a role in TGN localization; has homology to gamma-adaptin; GGA2 has a paralog, GGA1, that arose from the whole genome duplication","1","80","13","YHR108W","Interaction Data Present","Not A PMA1 Interactor"
"490","GNP1","852121","YDR508C","High-affinity glutamine permease; also transports Leu, Ser, Thr, Cys, Met and Asn; expression is fully dependent on Grr1p and modulated by the Ssy1p-Ptr3p-Ssy5p (SPS) sensor of extracellular amino acids; GNP1 has a paralog, AGP1, that arose from the whole genome duplication","1","80","13","YDR508C","Interaction Data Present","Not A PMA1 Interactor"
"510","GPA1","856394","YHR005C","Subunit of the G protein involved in pheromone response; GTP-binding alpha subunit of the heterotrimeric G protein; negatively regulates the mating pathway by sequestering G(beta)gamma and by triggering an adaptive response; activates Vps34p at the endosome; protein abundance increases in response to DNA replication stress","1","80","13","YHR005C","Interaction Data Present","Not A PMA1 Interactor"
"522","GPD1","851539","YDL022W","NAD-dependent glycerol-3-phosphate dehydrogenase; key enzyme of glycerol synthesis, essential for growth under osmotic stress; expression regulated by high-osmolarity glycerol response pathway; protein abundance increases in response to DNA replication stress; constitutively inactivated via phosphorylation by the protein kinases Ypk1p and Ypk2p, dephosphorylation increases catalytic activity; forms a heterodimer with Pnc1p to facilitate its peroxisomal import","1","80","13","YDL022W","Interaction Data Present","Not A PMA1 Interactor"
"538","GYP5","855827","YPL249C","GTPase-activating protein (GAP) for yeast Rab family members; involved in ER to Golgi trafficking; exhibits GAP activity toward Ypt1p that is stimulated by Gyl1p, also acts on Sec4p; interacts with Gyl1p, Rvs161p and Rvs167p; involved in recruiting Rvs167p to the bud tip during polarized growth; relocalizes from bud neck to cytoplasm upon DNA replication stress; GYP5 has a paralog, GYL1, that arose from the whole genome duplication","1","80","13","YPL249C","Interaction Data Present","Not A PMA1 Interactor"
"551","HIP1","853104","YGR191W","High-affinity histidine permease; also involved in the transport of manganese ions","1","80","13","YGR191W","Interaction Data Present","PMA1 Interactor"
"566","HSC82","855224","YMR186W","Cytoplasmic chaperone of the Hsp90 family; plays a role in determining prion variants; redundant in function and nearly identical with Hsp82p, and together they are essential; expressed constitutively at 10-fold higher basal levels than HSP82 and induced 2-3 fold by heat shock; contains two acid-rich unstructured regions that promote the solubility of chaperone-substrate complexes; HSC82 has a paralog, HSP82, that arose from the whole genome duplication","1","80","13","YMR186W","Interaction Data Present","Not A PMA1 Interactor"
"575","IDH2","854303","YOR136W","Subunit of mitochondrial NAD(+)-dependent isocitrate dehydrogenase; complex catalyzes the oxidation of isocitrate to alpha-ketoglutarate in the TCA cycle; phosphorylated","1","80","13","YOR136W","Interaction Data Present","Not A PMA1 Interactor"
"590","ILV1","856819","YER086W","Threonine deaminase, catalyzes first step in isoleucine biosynthesis; expression is under general amino acid control; ILV1 locus exhibits highly positioned nucleosomes whose organization is independent of known ILV1 regulation","1","80","13","YER086W","Interaction Data Present","Not A PMA1 Interactor"
"593","ILV2","855135","YMR108W","Acetolactate synthase; catalyses the first common step in isoleucine and valine biosynthesis and is the target of several classes of inhibitors, localizes to the mitochondria; expression of the gene is under general amino acid control","1","80","13","YMR108W","Interaction Data Present","Not A PMA1 Interactor"
"612","KAP95","851061","YLR347C","Karyopherin beta; forms a complex with Srp1p/Kap60p; interacts with nucleoporins to mediate nuclear import of NLS-containing cargo proteins via the nuclear pore complex; regulates PC biosynthesis; GDP-to-GTP exchange factor for Gsp1p","1","80","13","YLR347C","Interaction Data Present","Not A PMA1 Interactor"
"619","LCB1","855342","YMR296C","Component of serine palmitoyltransferase; responsible along with Lcb2p for the first committed step in sphingolipid synthesis, which is the condensation of serine with palmitoyl-CoA to form 3-ketosphinganine","1","80","13","YMR296C","Interaction Data Present","Not A PMA1 Interactor"
"635","LCB2","851634","YDR062W","Component of serine palmitoyltransferase; responsible along with Lcb1p for the first committed step in sphingolipid synthesis, which is the condensation of serine with palmitoyl-CoA to form 3-ketosphinganine","1","80","13","YDR062W","Interaction Data Present","Not A PMA1 Interactor"
"647","MCM6","852673","YGL201C","Protein involved in DNA replication; component of the Mcm2-7 hexameric helicase complex that binds chromatin as a part of the pre-replicative complex; forms a subcomplex with Mcm4p and Mcm7p","1","80","13","YGL201C","Interaction Data Present","Not A PMA1 Interactor"
"669","MDL1","850885","YLR188W","Mitochondrial inner membrane half-type ABC transporter; mediates export of peptides generated upon proteolysis of mitochondrial proteins; plays a role in the regulation of cellular resistance to oxidative stress","1","80","13","YLR188W","Interaction Data Present","Not A PMA1 Interactor"
"687","MDN1","850796","YLR106C","Huge dynein-related AAA-type ATPase (midasin); forms extended pre-60S particle with the Rix1 complex (Rix1p-Ipi1p-Ipi3p); acts in removal of ribosomal biogenesis factors at successive steps of pre-60S assembly and export from nucleus","1","80","13","YLR106C","Interaction Data Present","Not A PMA1 Interactor"
